scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id
0.6471761242196917,"[-0.07793163431101832, 0.9171349310105846, 0.36235614851409315, 0.5679894649621212, 0.9470932904411765, 0.8372508081896551, 0.683572035569411, 0.9399439493815104]","[-76.71035766601562, -82.50881958007812, -158.82684326171875, -84.128173828125, -32.2353515625, -157.27490234375, -132.297607421875, -55.19622802734375]","[-74.4503402709961, -110.94000244140625, -177.3070068359375, -102.871826171875, -48.3359375, -205.83544921875, -167.84335327148438, -77.7548828125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7812158717852954,"[-0.1172021484375, 0.49710648148148145, 0.8917922973632812, 0.637626953125, 0.9297055844907407, 0.7368728001912435, 1.356412615094866, 0.6224917457217262, 1.2983680138221154, 0.958984375]","[-88.39385986328125, -89.68359375, -77.891357421875, -64.959716796875, -85.52197265625, -38.919739723205566, -59.039031982421875, -156.2137451171875, -76.995361328125, -81.076171875]","[-85.46380615234375, -103.10546875, -106.4287109375, -80.900390625, -110.6240234375, -49.97283172607422, -97.01858520507812, -195.43072509765625, -110.7529296875, -109.845703125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.9198279508498319,"[0.09375, 0.4183078342013889, 0.20502344767252603, 0.4031931559244792, 1.168133544921875, 2.464324951171875, 0.6878702799479167, 0.8925452599158654, 0.5686197916666667, 1.3223762512207031, 1.7648468017578125, 1.048944091796875]","[-5.28125, -71.098876953125, -150.4114990234375, -110.54241943359375, -79.4967041015625, -18.114501953125, -53.25201416015625, -71.0364990234375, -97.607421875, -82.80874633789062, -7.42254638671875, -97.33636474609375]","[-5.375, -78.62841796875, -160.25262451171875, -125.057373046875, -102.859375, -37.8291015625, -63.570068359375, -94.24267578125, -114.666015625, -114.5457763671875, -14.48193359375, -128.8046875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7813767088788164,"[-0.043027131453804345, 1.3715049342105263, 0.45662608045212766, 0.5582135174725507, 0.66249820642304, 0.9294569227430556, 1.22455810546875, 1.0911830357142858]","[-80.92327880859375, -52.01171875, -143.0517578125, -101.84658813476562, -155.21419525146484, -100.078857421875, -66.50665283203125, -81.94140625]","[-79.93365478515625, -78.0703125, -164.51318359375, -122.50048828125, -192.97659301757812, -133.539306640625, -97.12060546875, -120.1328125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7140826712902917,"[-0.06700439453125, 1.00799560546875, 0.84037109375, 0.49558505677340325, 0.790175301688058, 1.3251855681019444, 0.5985764213230299, 0.7217767177483975]","[-130.10400390625, -55.3408203125, -66.291259765625, -167.30533981323242, -162.89349365234375, -84.78264164924622, -107.26651000976562, -99.43406677246094]","[-128.0938720703125, -79.53271484375, -87.300537109375, -195.5536880493164, -207.143310546875, -125.8633942604065, -134.801025390625, -127.58335876464844]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8005392906552511,"[0.011083112444196429, 0.47747513343547954, 0.6224675582627118, 0.701171875, 1.1331944056919643, 0.9003182870370371, 0.44219760237068967, 0.8167967184995993, 1.7267207392939814, 1.2696940104166667, 0.7048127547554348]","[-111.343505859375, -96.8870620727539, -184.487548828125, -84.384765625, -100.71221923828125, -63.4306640625, -66.81201171875, -123.3426284790039, -68.2618408203125, -68.25146484375, -64.292236328125]","[-111.73141479492188, -110.73384094238281, -221.213134765625, -101.212890625, -140.3740234375, -87.7392578125, -79.6357421875, -155.19770050048828, -114.88330078125, -102.533203125, -80.5029296875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7671318513816561,"[-0.060243803879310345, 0.7608853044181034, 1.3787513146033654, 0.8158507574172247, 0.4775430002520161, 1.221772693452381, 1.078006108601888, 0.7474365234375, 0.6552472795758929, 0.5960693359375]","[-102.888671875, -71.7685546875, -70.7581787109375, -46.666709899902344, -97.5740966796875, -43.47998046875, -53.75480651855469, -99.76171875, -76.17138671875, -102.03759765625]","[-101.1416015625, -93.834228515625, -106.605712890625, -63.79957580566406, -112.3779296875, -69.13720703125, -79.626953125, -123.6796875, -94.518310546875, -123.49609375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
1.1094037660699305,"[-0.01195447198275862, 0.31847426470588236, 1.035546875, 0.9564495446547022, 0.5585880279541016, 0.5758200252757353, 1.4516038161057692, 1.57257907673464, 0.9581799714461617, 1.353779296875, 3.434375]","[-100.0498046875, -138.92041015625, -53.0078125, -194.92874908447266, -108.97076416015625, -101.650390625, -59.91650390625, -165.59381103515625, -62.54560089111328, -76.206298828125, -6.248046875]","[-99.703125, -149.74853515625, -63.36328125, -245.62057495117188, -126.8455810546875, -121.228271484375, -97.658203125, -258.3759765625, -84.583740234375, -110.05078125, -23.419921875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6707692630357384,"[-0.10719807942708333, 0.7921977796052632, 0.6232157620516691, 0.6539417613636364, 0.5199295190664438, 0.5828755696614584, 0.6450642903645833, 1.4967151641845704, 0.81103515625, 0.6899157072368421]","[-76.0408935546875, -65.9990234375, -64.86568450927734, -66.236328125, -91.23110008239746, -156.17822265625, -96.2589111328125, -58.009544372558594, -74.220703125, -40.80078125]","[-74.111328125, -81.05078125, -78.57643127441406, -80.623046875, -104.749267578125, -184.15625, -115.61083984375, -87.94384765625, -96.9296875, -53.9091796875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.520507849786465,"[-0.062477733268112436, 0.592281494140625, 0.5999798244900174, 0.3920953924005682, 0.3841033935546875, 0.7549400329589844, 0.3915875752766927, 0.8203849792480469, 0.6397810311153017, 0.6924025079478389]","[-215.40277922153473, -57.297882080078125, -103.94955444335938, -98.9119873046875, -98.73077392578125, -102.9976806640625, -84.11784744262695, -123.946533203125, -75.91986083984375, -140.56823921203613]","[-211.59163749217987, -72.10491943359375, -125.548828125, -107.5380859375, -110.25387573242188, -127.15576171875, -97.04023742675781, -150.1988525390625, -94.4735107421875, -172.41875457763672]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.5012769170347957,"[-0.05269432067871094, 0.7910810198102679, 0.5187717013888888, 0.27797879305752843, 0.5638201032366071, 0.7107456752232143, 0.5772944859095982, 0.6080252907492898, 0.5164695046164772]","[-93.93929290771484, -90.4171142578125, -80.673828125, -160.65855407714844, -97.928466796875, -81.55029296875, -95.26348876953125, -58.432281494140625, -159.0416259765625]","[-92.2530746459961, -112.5673828125, -94.6806640625, -175.9473876953125, -117.66217041015625, -101.451171875, -111.427734375, -71.808837890625, -187.44744873046875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6715397037849383,"[-0.1259765625, 0.707794189453125, 0.8206796357125947, 0.6627852828414352, 0.5325230189732143, 0.6405825407608695, 0.6024667245370371, 1.0458513895670574, 0.8379132306134259, 0.990777587890625]","[-58.5390625, -84.035888671875, -89.40286254882812, -77.59637451171875, -113.2427978515625, -88.251953125, -84.321533203125, -68.08658599853516, -68.2962646484375, -79.73574829101562]","[-56.271484375, -101.02294921875, -116.48529052734375, -95.4915771484375, -131.881103515625, -102.9853515625, -100.588134765625, -99.46212768554688, -90.919921875, -114.4129638671875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.9608517221998419,"[-0.2998046875, 0.424990234375, 0.22208904397898707, 0.5453679011418269, 0.7850287942325368, 1.6046465705422794, 0.9386727469308036, 1.0419921875, 1.1496658325195312, 2.6976725260416665, 1.4394307666354709, 0.98046875]","[-12.7880859375, -109.7698974609375, -173.37225341796875, -80.57763671875, -43.447479248046875, -34.54132080078125, -53.607666015625, -93.158203125, -78.57550048828125, -9.370361328125, -44.665876388549805, -78.53515625]","[-11.888671875, -120.3946533203125, -186.25341796875, -94.7572021484375, -56.79296875, -61.8203125, -79.8905029296875, -120.25, -115.36480712890625, -17.46337890625, -70.57563018798828, -104.02734375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7582892640052914,"[-0.0224365234375, 0.7547110098379629, 0.36672824766577744, 0.9134447651524698, 0.92150390625, 0.8452405427631579, 1.1001790364583333, 0.9944725036621094, 0.9507598876953125]","[-70.91650390625, -62.645751953125, -271.79998779296875, -73.14695739746094, -61.12353515625, -61.275390625, -44.23583984375, -68.50762939453125, -84.7412109375]","[-70.4677734375, -83.02294921875, -301.8717041015625, -101.4637451171875, -84.1611328125, -77.3349609375, -64.0390625, -84.419189453125, -115.16552734375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7408720915556761,"[-0.09842936197916667, 0.836834716796875, 0.7065129597981771, 0.5438756528108016, 0.4204685377038043, 0.8916549682617188, 1.002504136827257, 1.1433021282327587, 1.1261896593817349, 0.8358075177228009]","[-124.42529296875, -45.1165771484375, -86.33747863769531, -59.81227111816406, -126.57009887695312, -49.6527099609375, -83.677490234375, -87.4527587890625, -69.87980651855469, -79.03076171875]","[-121.472412109375, -61.853271484375, -107.53286743164062, -72.3214111328125, -145.91165161132812, -63.919189453125, -119.76763916015625, -120.6085205078125, -102.539306640625, -101.59756469726562]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8112406699460502,"[-0.029752604166666665, 0.47994862432065216, 0.7437527520315987, 1.3272590637207031, 0.909757932027181, 0.7870567584859913, 1.1731866907190394, 0.6104266826923077, 1.2995301296836452]","[-109.61328125, -73.547119140625, -161.41527557373047, -74.5726318359375, -72.77164840698242, -84.89892578125, -67.21330261230469, -64.24609375, -75.80608749389648]","[-108.720703125, -84.5859375, -203.0654296875, -117.044921875, -105.52293395996094, -107.72357177734375, -98.88934326171875, -80.1171875, -125.188232421875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7910187277971839,"[-0.07537894413389008, 1.12099365234375, 0.5704862533077117, 0.8785433088030133, 0.9172119140625, 1.2036518255869548, 1.0992115162037037, 0.9184253833912037, 0.7752278645833334, 0.5018145038235572]","[-78.18231964111328, -54.99273681640625, -67.1373291015625, -108.28054809570312, -68.442138671875, -53.60194969177246, -54.4638671875, -70.1868896484375, -55.1748046875, -101.62539100646973]","[-75.99633026123047, -83.017578125, -84.82240295410156, -132.8797607421875, -91.3724365234375, -82.48959350585938, -84.142578125, -94.984375, -69.12890625, -117.181640625]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.5805173477855475,"[-0.04683743990384615, 0.2927280701312822, 0.2511935763888889, 0.484181902625344, 0.5156864166259766, 0.5720272972470238, 1.4618079144021738, 0.654805892553085, 1.0390625]","[-94.2412109375, -375.0865783691406, -105.9716796875, -159.09203052520752, -141.5603485107422, -150.756103515625, -71.8603515625, -113.25100708007812, -127.890625]","[-93.0234375, -403.481201171875, -112.75390625, -180.39603424072266, -162.18780517578125, -174.78125, -105.48193359375, -138.78843688964844, -167.375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7387458231236474,"[-0.10719807942708333, 0.7921977796052632, 0.8383576766304348, 0.20935190640963042, 0.6627595320991848, 0.45335249467329547, 1.0865956182065217, 0.8446895054408482, 1.1615058051215277, 1.4458459924768519]","[-76.0408935546875, -65.9990234375, -88.8115234375, -92.48727035522461, -66.06134033203125, -70.4437255859375, -56.915283203125, -51.37284851074219, -81.78558349609375, -57.95086669921875]","[-74.111328125, -81.05078125, -108.09375, -97.930419921875, -81.3048095703125, -80.41748046875, -81.906982421875, -69.111328125, -113.146240234375, -96.98870849609375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6787560285544649,"[-0.150634765625, 0.5498770254629629, 0.5777420536164315, 0.7992892795138888, 0.692138671875, 0.8080485026041667, 0.872900390625, 0.7980858055320946, 0.7971293131510416, 1.0429840087890625]","[-78.75244140625, -108.765625, -91.44041442871094, -95.81640625, -75.8798828125, -103.799560546875, -69.277587890625, -118.0567626953125, -58.72900390625, -76.11279296875]","[-76.041015625, -123.6123046875, -109.35041809082031, -124.5908203125, -95.259765625, -128.041015625, -91.10009765625, -147.5859375, -77.860107421875, -109.48828125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8478776546599515,"[-0.05217552185058594, 0.485625, 0.7103449503580729, 0.7654451069078947, 0.6571689821639151, 0.6055315290178571, 1.0079381606158089, 1.6602957589285714, 1.0376171875, 1.3045066550925926, 1.144356392525338]","[-90.77230072021484, -90.2734375, -72.01904296875, -48.40185546875, -173.6163330078125, -86.420654296875, -98.8199462890625, -43.1416015625, -71.434814453125, -64.984375, -85.01702880859375]","[-89.1026840209961, -102.4140625, -89.06732177734375, -62.9453125, -208.4462890625, -107.6142578125, -133.08984375, -78.0078125, -97.375244140625, -100.2060546875, -127.35821533203125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8724604081231689,"[-0.1259765625, 0.6092932224273682, 0.6338121568834459, 0.6939453125, 1.0222865513392858, 0.8133769035339355, 1.0511099815368652, 1.1142578125, 0.7175089518229166, 1.459814453125, 1.1871337890625, 1.2929623252467106]","[-58.5390625, -93.36275482177734, -120.0250244140625, -56.2412109375, -73.6103515625, -82.64216613769531, -85.73253917694092, -60.4111328125, -73.1865234375, -40.395751953125, -91.1875, -78.554931640625]","[-56.271484375, -112.86013793945312, -143.47607421875, -70.1201171875, -102.234375, -108.67022705078125, -117.26583862304688, -86.0390625, -90.40673828125, -62.29296875, -131.550048828125, -127.6875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7698593725791757,"[0.09375, 0.3745528511379076, 0.3612537384033203, 0.7402180989583333, 2.0500455583844865, 1.2391309323518171, 0.75033203125, 0.6794108072916667, 0.7864764286921575, 0.8640861511230469, 0.5291965007781982]","[-5.28125, -87.36471557617188, -184.961669921875, -102.06884765625, -19.921920776367188, -52.8007698059082, -61.28515625, -60.3671875, -87.1773452758789, -81.9322509765625, -99.77906799316406]","[-5.375, -95.97943115234375, -208.0819091796875, -124.275390625, -48.62255859375, -81.30078125, -80.04345703125, -70.558349609375, -107.625732421875, -109.5830078125, -116.7133560180664]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6975687432114144,"[-0.10740443638392858, 0.3425874255952381, 0.528662109375, 0.5816243489583334, 1.1191562529533141, 0.9693684895833333, 1.1452484130859375, 1.0149042038690477, 0.6839718818664551]","[-91.494140625, -67.1806640625, -217.0654296875, -62.9453125, -83.06926345825195, -80.953125, -67.92503356933594, -55.884765625, -112.07957458496094]","[-88.48681640625, -74.375, -254.07177734375, -76.904296875, -117.76310729980469, -110.0341796875, -94.2657470703125, -77.19775390625, -133.9666748046875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.5445195982619434,"[-0.09342575073242188, 0.933050537109375, 0.5928480360243056, 0.5545608058120265, 0.6275390625, 0.8700297037760417, 0.5131034851074219, 0.5365306854248046, 0.3664398193359375]","[-134.993408203125, -50.2586669921875, -108.037353515625, -220.01177978515625, -131.96484375, -79.25384521484375, -79.5274658203125, -91.66851425170898, -73.38726806640625]","[-132.0037841796875, -68.919677734375, -129.3798828125, -256.61279296875, -157.06640625, -105.354736328125, -95.94677734375, -107.76443481445312, -83.6475830078125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6461491883287548,"[-0.0007999420166015625, 0.3350423177083333, 0.360928955078125, 0.9309895833333334, 0.6030931974712171, 0.7498256138392857, 1.0996543482730263, 0.5900612422398158, 1.146547379032258]","[-131.472412109375, -100.8917236328125, -216.27810668945312, -107.84375, -109.71929931640625, -66.123046875, -43.19122314453125, -103.59037971496582, -69.812744140625]","[-131.44041442871094, -111.9481201171875, -243.3477783203125, -135.7734375, -132.6368408203125, -87.1181640625, -64.08465576171875, -124.24252319335938, -105.355712890625]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6459031434153479,"[-0.06723127693965517, 0.596119854901288, 0.827264404296875, 0.6276238759358724, 0.791557116386218, 0.6356924551504629, 0.7783203125, 0.39164703369140624, 0.9751551151275635, 0.9028825431034483]","[-99.4638671875, -78.38594388961792, -89.16867065429688, -62.55519104003906, -105.9835205078125, -79.9019775390625, -80.62646484375, -68.78108978271484, -76.5697021484375, -87.0994873046875]","[-97.51416015625, -100.44237852096558, -118.1229248046875, -77.6181640625, -136.854248046875, -97.065673828125, -103.19775390625, -78.572265625, -107.77466583251953, -113.2830810546875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.9425696413793325,"[-0.04683743990384615, 0.30386312905844154, 0.8033828735351562, 1.5049099392361112, 2.3416245404411766, 0.72259521484375, 1.6043294270833333, 0.850390625, 0.7305861763332201, 0.6108519281659808]","[-94.2412109375, -280.1719970703125, -106.1865234375, -50.447509765625, -33.1728515625, -92.92529296875, -118.1123046875, -136.010986328125, -94.51304626464844, -114.55278205871582]","[-93.0234375, -303.5694580078125, -131.894775390625, -77.535888671875, -72.98046875, -116.04833984375, -166.2421875, -170.026611328125, -111.3165283203125, -135.93259954452515]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8820935289708167,"[-0.23718719482421874, 0.8008840460526315, 0.9240478515625, 1.4698224748883928, 0.767349906589674, 1.0322265625, 0.7820991847826086, 1.7810748872302828, 0.6683502197265625, 0.6212126868111747, 1.093148193359375]","[-81.2412109375, -65.513671875, -62.98828125, -47.46063232421875, -89.8453369140625, -74.3125, -79.8896484375, -64.83180236816406, -53.81915283203125, -63.67841053009033, -73.81611633300781]","[-76.49746704101562, -80.73046875, -81.46923828125, -78.326904296875, -107.494384765625, -90.828125, -97.8779296875, -102.234375, -67.1861572265625, -76.723876953125, -101.14482116699219]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7443887359375625,"[-0.06271944912997159, 0.7798755787037037, 0.626847913188319, 0.5528548104422433, 0.6733174324035645, 0.8132975260416667, 1.1247686942418416, 1.3641560872395833, 0.8271000303071121]","[-185.78582000732422, -81.02490234375, -66.41713333129883, -92.40824890136719, -81.69296264648438, -76.63916015625, -68.76566791534424, -57.44921875, -53.51007080078125]","[-182.33625030517578, -102.08154296875, -85.84941864013672, -107.88818359375, -103.23912048339844, -101.0380859375, -95.76011657714844, -90.18896484375, -77.4959716796875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6125942126116738,"[-0.05269432067871094, 0.4458912037037037, 0.6537198153409091, 0.6810043797348485, 0.4557832177005597, 0.6633859449817289, 1.0332728794642858, 0.49862618281923493, 1.0188459916548296, 0.7281068313953488]","[-93.93929290771484, -94.9921875, -69.0205078125, -130.69287109375, -200.820556640625, -196.4612274169922, -81.4375, -92.90211486816406, -73.74713134765625, -122.83984375]","[-92.2530746459961, -107.03125, -83.40234375, -153.166015625, -231.3580322265625, -237.59115600585938, -110.369140625, -107.36227416992188, -96.1617431640625, -154.1484375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6264125339061539,"[-0.1259765625, 0.4079090754191081, 0.6811582503780242, 0.5100957697088068, 0.9711143092105263, 0.8582200443043428, 0.9891493055555556, 0.4720458984375, 0.7121707231570513, 0.788238525390625]","[-58.5390625, -128.38417053222656, -89.98638916015625, -68.99395751953125, -58.23828125, -97.02965545654297, -35.10546875, -53.28466796875, -102.302001953125, -72.800048828125]","[-56.271484375, -147.96380615234375, -111.102294921875, -80.216064453125, -76.689453125, -126.20913696289062, -52.91015625, -61.781494140625, -130.07666015625, -91.7177734375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.9383344339167338,"[0.09375, 0.3745528511379076, 0.40977223714192706, 0.5392608642578125, 0.5915363018329327, 0.6621955422794118, 1.4477677270770073, 0.8766970427139945, 2.9406700134277344, 1.0994965926460598, 0.9680381843021938, 1.2562758501838236]","[-5.28125, -87.36471557617188, -50.02911376953125, -95.4439697265625, -57.97283935546875, -111.0595703125, -86.33647179603577, -60.208709716796875, -6.4048004150390625, -69.37173461914062, -80.75116634368896, -106.4462890625]","[-5.375, -95.97943115234375, -59.8636474609375, -114.31809997558594, -73.352783203125, -133.57421875, -132.6650390625, -80.37274169921875, -18.16748046875, -94.66015625, -107.85623550415039, -149.15966796875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6150265455248861,"[-0.02092375578703704, 1.08404296875, 0.3650902437876506, 0.6894522404325181, 0.5345399918094758, 1.0379575841567095]","[-80.7314453125, -64.78466796875, -250.222900390625, -217.58514404296875, -85.57940673828125, -77.87956237792969]","[-80.16650390625, -91.8857421875, -280.525390625, -265.1573486328125, -102.150146484375, -113.17012023925781]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7007564650702738,"[-0.048715444711538464, 1.0516796875, 0.3491753472222222, 0.5098855154854911, 0.7635791485126202, 1.236737060546875, 0.7647909545898437, 1.0414406105324074, 0.7957117417279411, 0.543280029296875]","[-106.0572509765625, -64.560546875, -169.8072509765625, -97.82098388671875, -86.55612182617188, -48.410919189453125, -58.05571746826172, -74.945556640625, -78.50997924804688, -94.430419921875]","[-104.7906494140625, -90.8525390625, -188.6627197265625, -112.0977783203125, -106.4091796875, -73.14566040039062, -77.17549133300781, -103.064453125, -105.56417846679688, -116.16162109375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.9279335319710015,"[-0.014976247151692709, 0.5625494252080503, 0.48554597077546297, 1.0307383817784928, 0.827392578125, 0.9498309511126894, 1.6630304170691448, 1.48380126953125, 1.3203019362229567, 0.9711206370386584]","[-99.6278305053711, -76.04305267333984, -78.5216064453125, -78.85345458984375, -107.286865234375, -102.92901611328125, -56.96880626678467, -62.7236328125, -61.305938720703125, -78.57811737060547]","[-99.17854309082031, -88.981689453125, -91.63134765625, -113.8985595703125, -135.418212890625, -134.2734375, -95.218505859375, -92.399658203125, -95.6337890625, -106.74061584472656]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
