AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,bin,similarity_score,story_type
3ZAK8W07I50VYU7L1KD9QYNXWDJ0U9,1064,5ZY7XQWX,35.0,man,white,4.0,3.0,,4.0,5.010635294096256,My best birthday,imagined,I never expected the birthday surprise,-0.125,,3B2X28YI3X1BG6KU3ICVU950JPX6BL,4.0,very closely.,"As I caught the flight to see my parents during a vacation while in school, I thought nervously about the day. It was my birthday. I thought to myself. My birthday would be a special on to spend with my whole relations and siblings. I didn't know anyone at the family house and I was worried. My only wish was to be happy at when I get there and have a memorable birthday,when I got to the airport I took an uber to take me to the house. Soon I arrived home, I looked around with no idea of where every one was .the front door was open . I didn't like it. I became anxious and worried. I went upstairs and I met my sisters son . she said they all stepped out so we familiarized and I enjoyed her company because she was very funny. I felt like an her playmate for years. I sat down and closed my eyes. I remembered my old school, my old friends, my teachers and we all played when I was much younger like her. Suddenly my sister her mom walked up to me and screamed happy birthday and at that moment every one came out of their hiding position and I was shocked because I never expected such surprise. It was the best birthday ever and I wish to have such birthday again soonest. Everyone presented lots of gift to me and i was so happy and perplexed on what to say because i was confounded with the best words to use and explain my feelings.",4.0,It was supposed to be a wonderful trip to a wedding. People are immature and very petty. It ended up being the worst road trip ever.,150.0,Imagined,0.7434177,Imagined
35GCEFQ6I6A81L0SQUU09O0J2DMZ39,3283,KYGR8HVW,35.0,woman,white,1.0,1.0,,1.0,4.499809670330264,going away for the weekend and finding out some sad news.,imagined,I turned my phone on and saw all the missed calls.,1.0,,388U7OUMF8N3I2F4XQI4LN0DQFJ0RC,2.0,I have gotten terrible news after a great experience that kind of ruined the experience for me.,"A few months ago I went with my girlfriends family on a weekend vacation to their cabin in the woods. I was happy to be getting away from everything. The only bad thing is there was absolutely no cell phone service in the area, but it was nice to be disconnected for a while. We spent the weekend laying around by the lake and just relaxing. My girlfriends parents are really great and they cooked a nice dinner for us the first night. We didn't really do much else other than lay around. It was a much needed break from the crazy pace of my life. I felt like I got a lot closer to my girlfriends family too, which was nice. After the weekend was over we got into the car to head back home. I turned my cell phone on once we got out of the mountain range and was surprised to see I had over 20 missed calls. They were all from my best friend Ben. I immediately called him back and he was on the other end crying. His mother had died that morning. I felt absolutely horrible that I hadn't been there for him when it happened. He knew it wasn't my fault that I hadn't answered the phone, but I still felt really bad. The rest of the car ride home was very stressful. I couldn't wait to get home to go see Ben and his family. It was a really sad ending to an amazing weekend.",1.0,I was enjoying a weekend with my girlfriends family where we were all having a great time. I ended up finding out that my best friend's mom had passed away during this trip.,90.0,Imagined,0.74332356,Imagined
3C6FJU71TRFSVP369SOIIQHHQS3UYV,2887,NEUHN6BX,30.0,man,white,1.0,1.0,4.0,5.0,5.010635294096256,Rekindling a father and son relationship,recalled,when everything went perfect on our tri and our relationship improved.,0.625,,3C6FJU71TRFSVP369SOIIQHHQS3UYV,,,"Over the summer in June my father reached out to me and wanted to plan a road trip to Yellowstone National Park. This was a big deal because I have not spoken nor seen my father in over 10 years. The last time we spoke, we were not on the best of speaking terms due to some differences we had when I was still living in the same area that we had. I was pretty stunned that he had even called me and wanted to do something with me. Even more, he had invited my girlfriend of 6 years who he had never met. I never gave him a direct answer during the first call because I was shocked. I wanted to talk it over with my girlfriend and my therapist to see if this was even a good idea. I was slightly worried that it could conjure up some past animosity that I have harbored since I was a kid. Both my girlfriend and therapist said I should definitely follow up with my dad and agree on the trip. The next several weeks were very nerve wracking for me and I could not stop thinking about how the trip would go. When we finally met up in Cheyenne, Wyoming, my emotions were all over the place. I was so nervous my stomach hurt. My dad gave me a hug and said he was excited to ""get the show on the road"".  We had a great trip and talked for hours each day while driving to a new destination in the park to check out. My dad and I rekindled our relationship and it was a week that I will never forget. I now finally feel like I have a father and it makes me feel happy.",1.0,I agreed to go on a road trip to a national park with my estranged father. It was very successful and we even came to terms with our past and have  a wonderful relationship now.,150.0,Imagined,0.7412202,Imagined
3FQ5JJ512MAKGUUG8CB5VNADYXCKNL,1436,1QSJT10K,35.0,woman,white,1.0,2.0,,4.0,4.0943445622220995,me visiting my family and losing my dog.,imagined,my dog had to be put down.,0.375,,3AZHRG4CU56BZ0U2M0H83PXXS6S03F,4.0,I have had a pet that had to be put down before.,"I had such a bittersweet time back home 2 months ago.  It had been many months since I had a chance to go back home and see my family.  I had been looking forward to it and with the holidays coming up it seemed perfect.  I was so happy to see everyone.  I think everyone was happy to see me.  My first stop once back in my hometown, was my grandma's house.  She is the highlight of my visit every time I am home.  She had cooked some of my favorite comfort foods for me to come home to. My immediate and extended family was all at her house waiting for me.  It felt like we picked up from right where we left off.  I didn't feel like it had been months or that I had missed out on anything.  In the past leaving my grandma was always the hardest part of my visit home.  However it was a little different this time.  I had a puppy growing up named Matt.  I learned that he was very sick.  My dad said he was going to have to putt him down.  I am glad I was home to say goodbye to my childhood pet.  I am devastated that it had to be done though.",2.0,Traveled home and saw my family for the first time in a long time. I also got a chance to say goodbye to my dog.,60.0,Imagined,0.7391922,Imagined
358010RM5FF38Z2W9MCLVYCRRZZVXX,2771,C53W4N7Q,25.0,man,white,1.0,3.0,3.0,5.0,3.8918202981106265,the death and funeral of my best friend.,retold,my friend passed away without any warning.,1.0,3CPLWGV3MPL0ZYBP4FKG5EWWPGON98,,,,"I had just spent time with him two days prior. We went to a fourth of July carnival in town. We met up with some other old friends down there and had a fun time. I dropped him back off at home after. Two days later I hear that he had passed away suddenly. It was such a shock that it didn't really seem real at first. It took a few hours to really set in. I spent that entire day on the phone with friends. Telling them the news and talking to them about it. It was great the way that everyone came together so quickly to support each other. The funeral was tough but it was good to see so many old familiar faces in the same room again after years apart. I think my life has changed significantly since. It has made me more appreciate everyone more and focus more on spending time with the people in my life, even if I'm too tired to want to do anything or any other kind of excuse. It still sucks without him here, sometimes for a second I will forget that he's gone. Sometimes I try not to think about it too.",4.0,"My best friend passed away unexpectedly. This was very hard on all of his good friends, including me. We all came together and attended his funeral.",49.0,Retold,0.7390581,Retold
3VSOLARPKCVTVUIFMW01W0YQ45M93Z,3880,6IL0HGZP,30.0,woman,black,1.0,1.0,5.0,5.0,5.010635294096256,a coffee date with my best friend I don't get to often see.,recalled,my best friend held and rubbed my hand for a long time.,0.875,,3VSOLARPKCVTVUIFMW01W0YQ45M93Z,,,"I happened to have a day off from work back in May. I get a call from my younger sister asking me to go with her to her doctor's office to get the gender results for her baby as she was about four months pregnant at that time. She was tired after work that day and wanted to know if I minded driving her there. I of course agreed to help. I waited in the car while she went in to get the results and had the idea to contact my best friend whom I hadn't seen in quite some time. He had suggested a month earlier that we should have a coffee date one day. With the work schedule I had at the time, I didn't think we'd get to do that any time soon. However, that day presented the perfect opportunity. I happened to have a decent amount of cash that day and asked my sister if she minded me meeting up with my best friend for coffee after he got off from work. I offered to give her gas money for her time and to keep her gas tank full. She agreed to let me drive to his job to get him. We got there and waited until he was done for the day. This didn't take long yet I was worried she would grow impatient. Luckily, my sister was very calm and relaxed. I forgot that she knows about the history of me and my best friend and how we used to date and still have feelings for each other since she was a kid at the time. Not long after, his work day ends and he comes out of the building. We hugged for a moment before driving to the local coffee shop up the street. He and I go in and order. We sit down and talk for about 45 minutes about everything on our minds. He surprised me by suddenly holding my hand and rubbing it for the majority of the time we were there. I felt so shy yet also warm, relaxed, and safe. We sat there staring at each other for a long moment. I admitted to him that this was the best I'd felt in a long time. Although we don't see each other often, we talk through social media every day. We've both been coping with unfavorable situations and it was like at that moment all our stress evaporated and we found peace in each other's company.",1.0,"I drove my sister to her doctor to get gender reveal information for her baby. After she got done, I asked to go see my best friend and she agreed to it. My best friend and I go out for coffee and talk and comfort each other for the first time in a long time after his work day ended.",150.0,Imagined,0.7387275,Imagined
3TXWC2NHN0CXFB3UCB124862MOF9SH,1699,0DCHG8QV,30.0,man,white,1.0,3.0,5.0,5.0,5.1929568508902095,my divorce with my wife,recalled,Her parents asking what the plan was for the future,1.0,,3TXWC2NHN0CXFB3UCB124862MOF9SH,,,"Not to long ago me and my wife decided to get divorced, i'm remember the day vividly. we were talking about filing taxes and we got into a big fight about some of the ways we would use some of the tax return. I tried to point out to her some of the ways we could donate a portion of it away and why, and she was trying to explain her reasoning as well. We had been have marital problems for awhile but i knew in that moment sitting at the table i had to make a decision about our future, i knew she was not happy and neither was I. So i tried to calmly gather my feelings and courage to tell her that it was not working and we needed to separate. I knew it was going to be hard and heartbreaking but i also knew in the future it would be what was best for her and me. I had packed up my bag for the night and said goodbye to my son, as i drove to my friends house it was one of the hardest decisions I've had to make in my life, i was trying to keep it together and try not to turn around and go back. one of the hardest part for me to accept also was not being able to see my son for awhile. he is very young and i knew he would not understand what was happening or why. A few days later her parents came to our home to pack up some of her stuff to take with. I remember them asking what the plan was moving forward and me trying to explain to them what my plan was that i knew of so far but that i did not have all the answers. I remember i took my son for a few days while they packed up and left behind what she didn't want. we only lived in a apartment so there wasn't a whole lot of possessions to take. After she had finished packing and left with our son, I walked into our apartment knowing that life would never be the same again, that I would have to sacrifice time spent with my son but knowing that if i could just hold onto what would be better in the future for everyone that thats what i should do. It would be better for him to grow up with both of us happy instead of us staying together and being miserable just for the sake of appearances. It was a difficult decision but the right one.",1.0,"well i talked about the day that me and my wife decided to get a divorce, and walked through some of the emotions that i was feeling at the time, and why it was one of the biggest changes I've had to make in my life and that it was not easy.",180.0,Imagined,0.7380166,Imagined
3FDJT1UU75UGQ5OA4CFJ16AQK945KD,3016,H4ECJFU9,25.0,man,hisp,1.0,1.0,2.0,5.0,4.787491742782046,travelling for my best friend's mom's memorial.,retold,my best friend's mom passed.,0.75,388U7OUMF8N3I2F4XQI4LN0DQFJ0RC,,,,"After I found out the news about my best friend's mom passing away, I was in awe. It was almost unbelievable. I instantly knew that I had to fly out to see him and be with him during this difficult time. It wasn't a cheap trip, by any means, but it was necessary. I waited a few days for things to calm down a bit before finding information about his mother's memorial ceremony. Once that date was concrete I scheduled my flight to be there with him. Once I got to where he lives we spent almost 7 hours just talking about what has been new and how he was doing. It was a great conversation and I'm really happy that we got to have it. We spoke about memories about his mom and memories we all had together. We also got into his feelings and how he was doing with everything. I like to think that that trip helped him out a lot as having a childhood friend there would be comforting. After that night, we had the ceremony the following day and it was incredibly sad. We watched a film reel and her surviving family went up on stage and spoke about her. It was a good experience but it was a sad one as well. My best friend was clearly and understandably emotional during this time but made it through and I could tell that he was incredibly appreciative of the fact that I was there. After that we spent some more time together and I flew back home. We have been in touch consistently since then and he has been doing better. After all, time heals all wounds!",1.0,I was enjoying a weekend with my girlfriends family where we were all having a great time. I ended up finding out that my best friend's mom had passed away during this trip.,120.0,Retold,0.7379404,Retold
3S06PH7KSSQ9OHHHB8RKU32J4LG1DA,8050,PZCMRT7R,25.0,man,black,1.0,3.0,3.0,4.0,5.1929568508902095,Rekindling a relationship.,retold,I heard an unsuspecting voice call my name,0.75,3YHH42UU5C1SF4KRS6L8ZBREQ3NL02,,,,"Around seven months ago, I was out with friends celebrating my birthday.  It was a fun night overall of catching up and enjoying ourselves.  By the end of the night we find ourselves stopping at Target because a friend needed something out of there.  Everyone else wanted some sort of refreshments so they agreed to stop as well.  So we go in the store and basically split off from one large group.  I find myself heading towards electronics as usual to browse.  A bit after I'm browsing, I realize I need something near sporting goods.  I stop in an isle and I hear a voice call my name.  I froze, caught up in a whirlwind of tons of emotions because I recognized that voice.  It was my ex girlfriend that I'd known for over a decade.  She looked different, like the happiness had been sucked out of her.  She looked tired, really tired and I wondered how she'd been.  She didn't explode with excitement or even move.  Quizzically, she just said my name again.  I greeted her and we embraced.  We hugged for what seemed like 10 minutes and then we finally broke apart and began to catch up.  I tried to keep everything casual but on the inside I felt a bit bad for her and missed her.  She told me about some of the rougher things that were going on and caught me up on what she had been doing.  By the end of it all, I couldn't help but to feel a bit bad but I was happy to have seen her.  We promised to keep in touch and then parted ways again.",3.0,"I ran into someone that I used to know at a Target while celebrating my birthday earlier this year.  We hugged, talked, and eventually came to the decision that we would talk to each other again.  I was convinced that it was a bad idea but it's turned out to be quite alright.",180.0,Retold,0.7371809,Retold
3OLQQLKKNTBLB4BLXS8A4LGR5BJEJP,2812,GIHN3L3A,30.0,man,other,1.0,3.0,,4.0,3.0445224377234235,the death of my brother,imagined,I found out my brother died,1.0,,3EG49X351VYIT9NV8E4DJ6WSB346X8,3.0,"I haven't lost a sibling, but I have lost a few relatives in the past few years.","I don't really know what to say right now. I feel like someone reached into my guts and starting pulling everything out. Three weeks ago my brother passed away suddenly. The shock from receiving the news still hasn't worn off. I still think that the phone is going to ring and my brother will be on the other end, asking if I want to come over to watch the game. What am I supposed to do now? We spent so much time together, almost daily. The void left by his absence makes me feel like I am being pulled out of my own body. I remember a time when we went to the football game together. The tickets were pretty cheap and the weather was bitter cold. We still had a ton of fun. My brother even had an entire beer spilled on him after a touchdown was scored. We both looked at each other and started to laugh. He was a good person. He was my best friend.",3.0,The passing of my brother in law. A favorite relative of mine. This was very emotional time for me as we enjoyed each others company ofte.,21.0,Imagined,0.7368082,Imagined
