,AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent
673,33OOO72IVI70S9NCDVGJG33WVU8CT7,1451,FGM8T6LZ,40.0,woman,white,1.0,2.0,4.0,5.0,1.9459101490553128,my daughter coming out,recalled,she told me because she shares my conservative values.,0.0,33OOO72IVI70S9NCDVGJG33WVU8CT7,33OOO72IVI70S9NCDVGJG33WVU8CT7,,,"My teenage daughter told me two days ago that she is bisexual. I am a very conservative, religious person, and she has always gone to church and expressed similar values, so this was a shock. She didn't know how to tell me, so she wrote a note and gave it to me. After reading it, I just hugged her and held her and told her I would always love her. We both cried for a long time. It is so hard growing up today. There are so many confusing messages coming from so many different places. It is a scary world, and the one place a kid should feel safe and accepted is at home. I hope my daughter always feels that way. She said her biggest fear was that we would treat her differently now. I told her we might have to muddle through some awkward questions and conversations together, but that I will be here to support her health and happiness. I think all moms worry about whether they are good enough or if there was some point in some area where they failed their kids. I am wrestling with these questions now. I have a renewed determination to be connected and present with my kids. I think our family can and will grow stronger and closer.",3.0,My daughter came out to me that she is bisexual. I told her I love her no matter what and that I will always support her health and happiness.,7.0
869,37TRT2X24RDN41Z1N16K3DA62G0BJK,2955,F2SW4J23,25.0,man,white,1.0,1.0,,4.0,4.0943445622220995,my friend's wedding.,imagined,the steak dinner was so delicious.,1.0,,34X6J5FLPUKA871Q6J3AY254T2WJQA,4.0,"I recently attended my cousin's wedding and had a great time, so this story is very similar to that.","About two months ago, I attended one of my friends weddings. The decor was absolutely amazing. During the ceremony, they had flower petals lining the aisles. The procession started with my friend, the groom, and his parents. He looked amazing in a navy blue tuxedo with a light pink tie. It was very classy. After the bridesmaids and groomsmen walked down the aisle, it was time for the bride and her father to enter. Everyone stood up and turned their heads as the bride walked into the hall. She was absolutely beautiful; stunning from head to toe. Her dress was barely touching the ground, yet her veil had a four foot train behind her. The whole ceremony only lasted about twenty minutes, and was well officiated by one of our close friends. After that, the wedding party headed to the banquet hall next door for a few drinks and appetizers. Luckily, it was open bar so I didn't have to pay for a glass of wine. An hour or so later, everyone settled into their seats as the DJ announced the new couple. They had their first dance, as well as the mother-son and father-daughter dances. Dinner came out shortly after the best man and maid of honor made their speeches. I ordered the steak, and it was cooked to perfection. After I ate, I had a couple more cocktails and that's when the real fun began. We danced for a few hours, and celebrated the new couples nuptials. Overall, it was amazing, and it was a great way to connect with all my friends at the wedding.",1.0,I was at my friends wedding and it was beautiful. I am the one that took picture. There was plenty  of stuff that happened in this story about the wedding and we had a great time.she had a lot of family and friends that came to this wedding.,60.0
1030,3GFK2QRXXA37L5IRTQYMPH4MV6P5WR,619,01MBCUNN,25.0,woman,white,1.0,1.0,,2.0,3.737669618283368,my sister's wedding.,imagined,the officiant came at the last minute.,0.75,,35GMH2SV3F3ZCF2ID50FCHXCQSKEOT,2.0,I tried to put myself and my own sister in the story.,"Dear Diary, Clara is married! I'm so incredibly happy for her and her new HUSBAND Henry. It was a beautiful wedding. I felt responsible as a bridesmaid and as a sister for everything to go smoothly. I tried to make sure that Clara didn't have to deal with everything and could just enjoy her day. First, Mom was so fussy. She wanted things to go perfectly for the guests, but I just wanted the couple to be happy. The the wedding officiator not coming until the last minute was worrisome. But we were surrounded by people who love us, so really if we didn't have the officiator until late, it wouldn't mean that things were SO BAD. But by the way Mom was acting, you'd think the world was ending. Henry and Clara love each other, we are here to celebrate, and it was beautiful. I wish people didn't get so stressed about weddings. When I get married, I hope it's relaxed and everyone is happy and not stressed. The speech I labored over went over extremely well! People laughed and cried, and I felt closer than ever to my little sister. I loved the wedding. What a perfect, blissful memory I now have of this wonderful celebration.",1.0,"I attended my sisters wedding as a bridesmaid. Lots of chaos happened, (such as the wedding officiator not showing up last minute!) but there were also beautiful memories made as well. I was able to see friends and family I had not seen in years and it was a happy time.",42.0
1143,36PW28KO40IAAB8H3MVXBMD71BEAEO,4558,8WPRX24G,25.0,woman,white,3.0,4.0,4.0,3.0,4.499809670330264,about my cousin's wedding,recalled,"When we cried, my cousin parted with us",-0.125,,36PW28KO40IAAB8H3MVXBMD71BEAEO,,,A celebration in a family gives pleasure to all the Members of the family. Friends and relatives also attend the occasion and share the pleasure. Pleasure multiplies when there is a wedding in the family. I drew immense pleasure when the marriage ceremony of my cousin was held. It was performed on 23rd of the last month. My parents and my uncle and aunt spent a whole week making necessary purchases. The whole house was color washed. The doors were republished. Our house looked like a bride. Many kinds of gold ornaments were bought for my cousin. Several clothes were also purchased for all the family members and relatives. My cousin herself chose clothes for her. Invitation cards were printed and were sent to friends and relatives. The feast on the date of marriage was very delicious. My parents were very busy. My aunt and uncle were also terribly engaged in different works. Our relatives were making our house a noisy place. The ladies were busy with religious ceremonies. Two cooks were engaged to prepare the dinner for the guests and the bridegroom party members. Cold drinks were ready. Large quantities of fresh fruits Were also arranged for the guests. My father and uncle stood at the gate to receive the guests. The marriage party arrived at seven in the evening. The marriage ceremony was held after the reception. The priest chanted sholkas from the Vedas. Many senior members including my parents and the parents of the groom were present at the time of the holy marriage on the shrine. The bride and the groom exchanged garlands and sacredly accepted each other as the partner of life.,4.0,"In my cousin wedding, we just celebrate that function with our family We have have a lots of fun in that time and play some games in that night.",90.0
1303,3IX2EGZR7C5AK8GQJYSA3SFAK09RJF,455,ICDWSD3T,35.0,woman,white,1.0,1.0,,1.0,3.332204510175204,my wedding day.,imagined,my partner proposed to me.,0.875,,37UEWGM5HUU3PR0MT9M4ZSJN1NJ1RC,2.0,"I've never been married so it was a stretch.,","I have always known that I am in love with the man that I married. The day that we got engaged, it was around Christmas and he popped the question in front of my whole family. To say that it was something special was an understatement! He had asked my mom and dad for permission and when I opened my gift from him it was a ring and I looked at him and he was already on one knee! Planning the wedding was just as easy as my decision to marry him! He just wanted me happy and to have anything that I wanted. Both of our parents helped pay for things and that lifted a huge burden off of us. His sister helped with a lot of the planning since she was a professional wedding planner until she had children and stopped doing that. She helped pick out this wonderful natural location in the woods of a park that me and him met and went on frequent walks at. The location was so special to us! She picked out a wonderful live band and said that it would be so much better than having a DJ playing, and it was! The music was so good and it wasn't a typical crappy wedding band. This band was LEGIT! Another thing that really shocked me was how little the food cost but how much of it we had gotten! There was food for a month for everyone and it didn't cost an arm and a leg! The whole day was wonderful and really being married to the man of my dreams, surrounded by friends and family... the day couldn't have gotten better!",1.0,"I was married on a nice warm day to the love my life. We were surrounded by close family and friends. Very intimate setting, with wonderful food and music.",28.0
1468,38F5OAUN5OY4BJ1LMKRJMY8U9C2H7P,1073,7BVHVWGN,30.0,man,asian,4.0,4.0,4.0,5.0,2.6390573296152584,about my cousin's wedding,recalled,people shared the most embarrassing stories about the groom and bride.,0.625,,38F5OAUN5OY4BJ1LMKRJMY8U9C2H7P,,,"I went to my cousin's wedding last month. It was important to me because we grew up together in the same house for a period of time and it was a major milestone for her. It was in Toronto, Canada and there were over 100 guests there. I also got to see extended family together for the first time in years. We first went to a wedding rehearsal before the event. It was at a Chinese restaurant and the food was really good.  Then we went to a castle for the actual day of the wedding. First, I got to see them walk down the aisle. Then, I got to see the official formalize the event and watch them dance. Then, we went to a reception. I got to hear speeches from many people that marked what an important event it was. The funniest speech was when they shared each other's many embarrassing secrets. It made the event lighter but also showed how much they knew and cared for each other. It was my first time at a wedding so it was a cool experience. Mostly I was just happy to see my cousin get married and have such a life-changing event.",4.0,I went to my cousin's wedding. It made me really happy to see her have such a life-changing event. It was cool to see what a wedding was actually like.,14.0
1572,39GXDJN2OU0DTY1O1E0TFZVY0Z28VW,2485,WSHYVNCW,30.0,woman,hisp,1.0,1.0,5.0,5.0,67.5734753930451,my wedding day.,recalled,we read our vows and our friends and family cried.,1.0,,39GXDJN2OU0DTY1O1E0TFZVY0Z28VW,,,"Two months ago I married the love of my life. It is by far the most memorable day of my life. We met in high school, became teen parents, and had been dating for a little over 14 years. We had a long 5 year engagement, just to ensure that our wedding day was perfect. We paid for everything and planned everything on our own, which I think adds to memory of our special day. We both had input and we tailored our decisions to stay true to our love story, as well as highlighting our very different personalities. It was a great day and when we read our vows, people cried. We had a very intimate setting, very close friends and family only, and I think it made it that much more special. We really just focused on ourselves and each other, something a lot of couples forget to do. I've heard so many times, from friends and family, that they wish they could go back and do it all over again. I've heard a lot of stories about how the day flew by and that they never took the time to actually enjoy it. A lot of people regret the decisions they make when it comes to their wedding day. They wish they would have had a smaller or a less expensive wedding. A lot of my friends and family believe they wasted a large sum of money on one single day and ended up being in debt afterwards. We took all of those stories and we decided to not let that be our story. We bought everything with cash, nothing as a loan or on credit. We made our own smorgasbord of food and desserts. We treated it like Thanksgiving. It was awesome and delicious. We worried less about being flashy and classy and more about being comfortable and memorable. We wore what we wanted and didn't have a dress code for our guests. There was no rehearsal dinner, no huge reception. We told people to come as you are and bring their own drinks. Everyone really enjoyed just relaxing, eating good food, and letting loose. It was beautiful, laid back and there's nothing I would change about our special day.",1.0,Two months ago I married the love of my life. We did not have a traditional wedding. There is nothing we would change about that day.,2.222222222222222e+29
1599,3300DTYQT332XRFYSISJ1MSC60EEQS,1082,DT3XNTBX,35.0,woman,black,2.0,5.0,3.0,5.0,5.1929568508902095,my cat dying.,retold,my other cat died days later.,0.875,39JEC7537VNF51R1IQGYHLRHRD8VCL,,,,"It's been 6 months since my beloved cat dyed. His name was Kich. He was 17. He was one of the best things to ever happen to me, hands down. He was black, long, and thin with elegant features. He lived a good life despite illnesses. He was such a good and sweet buddy, my most precious gift to have ever received from life. Now that I look back on it, I thought he was going to live strong seemingly forever because he could escape brushes with death and seemed that he could last longer, but slowly, his health started to decline until it was snowballing. I said goodbye to him in disbelief that he was really gone, that I couldn't do anything to keep him here, that I couldn't take away his suffering. I will never forget the moments when I saw him slip away forever. Just a couple days later, my other cat who lived with my ex husband died. He died at home of old age, just as his brother had. I still can't believe both my boys are gone and there's a part of my heart that is so empty without them. The only thing that makes it ok is that nothing can hurt my boys anymore. I guess this is the price to pay to make sure they no longer suffer.",3.0,"My 17 year old cat died in April. His euthenization was traumatic and I miss him every day. However, I always know what really matters, is that he no longer suffers.",180.0
1684,39N5ACM9HF902JN2KUX8931RS1F9PV,1097,9DKO1QNB,25.0,man,asian,1.0,1.0,5.0,5.0,4.499809670330264,my friend's wedding.,recalled,I met someone and hit it off.,1.0,39N5ACM9HF902JN2KUX8931RS1F9PV,39N5ACM9HF902JN2KUX8931RS1F9PV,,,I was invited to attend a wedding of a close friend.  I remember traveling to the wedding and attending the ceremony.  It was especially memorable for me because we were good friends.  Out of all my friends he was the only one that had not gotten married.  Everyone thought that he would never get married.  When I got there I greeted my friend.  He was very nervous and the kind of person that does not get dressed up.  He was there in a tuxedo and sweating bullets.  The wedding was small and simple with just a few family and friends invited.  I thought the ceremony was beautiful and that they made a lovely couple.  I ended up meeting someone at the wedding that made a strong impression on me.  She was one of the friends of the bride and we hit it off instantly.  We talked and danced and had a great time.  We exchanged contact information and were going to stay in touch.  It just so happened that chance meeting has led to a great relationship that I am now pursing.,1.0,I attended a friend's wedding.  One of the least likely of my friends to get married.  I met someone at the wedding and we hit it off.,90.0
1709,34FNN24DCNVBAADR8RGAAEP1F4KY51,711,SX67M1YG,30.0,woman,white,1.0,1.0,,5.0,1.9459101490553128,getting a promotion,imagined,i got the promotion sooner than expected,0.125,,39O5D9O87UEVTSPIYGASYQZYYCAC30,5.0,I'm am currently working towards achieving a promotion in my workplace as well,"Dear Diary,I'm so excited! Yesterday I was promoted to manager at work! I've worked so hard for this position. It finally paid off. I'm so proud of myself for accomplishing this goal after setting my mind to it. I'm excited to tell my family what happened! My manager was very supportive of that work I've been doing. They will be mentoring me in this new position. I know becoming manager will mean a lot more responsibility.  I'm sure I'm ready for it! The store could use some improvements which I hope to accomplish. This is the best achievement in my work life recently and I'm incredibly happy! I don't really know what else to say at this point other than. We'll see what tomorrow brings! Me.",4.0,The experience I wrote about was my most recent achievement in my work life. I got a promotion to manager of my own store. I am the happiest and most accomplished I have ever felt.,7.0
1787,374TNBHA8CH03WWPSJ4D8PKS55MYQX,1039,DSS4DW5J,35.0,woman,white,1.0,3.0,,4.0,4.787491742782046,about my cousin's wedding,imagined,when i met her,0.5,,3A1COHJ8NKH8BX64WPJP0Y4PKW8H8C,3.0,very close to myself,"Absolutely not. I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves. As far as pressure from your parents, unless they are providing you with the money to attend and the money to give the couple, they should let it rest. I would consider sending a card wishing them well. it was an nice experience i had ever. i wish them live long and happy. they both are made for each other. i had a great time in my lifetime. she is my bestie. we had lot of memories. we are childhood friends. she was very special to me. we are family friends. we always going outing together. we had good and bad memories. i am very happy. and proud to have a friend like this. it was very pleasure to share this. still we are very close to each other.",2.0,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,120.0
1855,3OXV7EAXLFC6DBGHOPXPCQ7O5IP36C,10223,0S8THK7E,40.0,man,white,1.0,1.0,4.0,5.0,5.598421958998375,getting a new job,retold,i was offered the job that I thought was out of my league,0.75,3AAJC4I4FHEJMZ2HTFMNPVH8VXTJZX,,,,"I was getting burnt out at my job of many years and was looking for a change.  On a whim I decided to apply for a job that was related to my field but that I had no experience or expertise in.  The job was far above what I currently had in terms of position, responsibility, and salary.  The job was also half way across the country.  To my surprise I was called for an interview and made it past the first round.  I was called back to go onsite to do a formal interview and they loved me.  I was so surprised to get offered the job because I was not a perfect fit for it by any means.  I would have to learn a lot and pursue an additional degree.  My wife and daughter were excited about what lay ahead for us and the prospect of moving.  We relocated from NJ to TN and it was culture shock.  But exactly what we needed at that time.   We were all happy with the decision and the opportunity.  I was nervous about the pressure to do well in an unfamiliar role.  I was concerned about the learning curve and if I would catch on quick.  I was elated to find out that I did just fine.  Everything turned out great.",3.0,I got a new job.  We moved and I am starting next week.  My whole family is excited and happy for this new chapter in our life.,270.0
1856,3AAJC4I4FHEJMZ2HTFMNPVH8VXTJZX,3470,0S8THK7E,40.0,man,white,1.0,2.0,5.0,5.0,3.4011973816621555,getting a new job,recalled,i got exactly what i wanted and more,0.75,3AAJC4I4FHEJMZ2HTFMNPVH8VXTJZX,3AAJC4I4FHEJMZ2HTFMNPVH8VXTJZX,,,"Last month I ws offered a new job with an amazing salary.  This was memorable to me because I had been looking for a long time.  About one whole year to be exact.  I was not happy with the salary at the job I was working the last two years and just decided to finally do something about it.  I started applying and interviewing heavily looking for that perfect opportunity. I reached out and worked with recruiters and headhunters.  I wasnt shy about waht I wanted and I was offered many jobs over the course of the year but held out for the perfect offer.  It finally came and I was ecstatic. It was everythig I hoped for ande even a little bit more.  It only had one downside and that was that we would have to relocate away from our friends.  I feel like this is okay though because we have family in that area and will have supprt when we need it.  I am excited to start which will be in this upcoming week.  We are so happy and ready to begin our new chapter in our life.  The kids are happy,  The wife is happy.  I am happy.  We should all thrive in this new environment.",4.0,I got a new job.  We moved and I am starting next week.  My whole family is excited and happy for this new chapter in our life.,30.0
1881,3N8OEVH1FSCLO6F77J3BHTRQC7TOOI,987,ILFLOENY,25.0,woman,white,2.0,1.0,,1.0,5.1929568508902095,the birth of my daughter,imagined,my son reacted negatively to my pregnancy,0.625,,3AMW0RGHOEOLRLRWL4GDR4WBWWBPN0,1.0,It is not similar to anything I've experienced,"The day that I found out I was pregnant, my husband and I were ecstatic. We were so excited for our son to have a sibling. However, when we told our son the news he was not happy about it. We found out I was pregnant with a girl and we thought it might make it feel more real for our son knowing he would have a little sister. Despite our reassurances that we would still love him just the same, he was still upset about it. We thought he would warm to the idea as my pregnancy went on. But as it got closer to my delivery date, he was still saying that he didn't want a sibling. I was put on bed rest for the last couple weeks of my pregnancy. One day my water broke and we were off to the hospital. There were some complications with the delivery and I ended up needing an emergency c-section. It was a really scary experience, but my daughter was born healthy. When we brought our son in to meet his new little sister, he had a scowl on his face. He kept up his dislike for his sister for a few days. Eventually, he was won over by how cute she was. Now that my daughter is 3 years old, her brother loves her so much. He is super protective over her and it's a huge relief that they like each other now.",2.0,I was recalling the day that my daughter was born.  It was happy and scary at the same time. I was worried about how my son would handle it.  It didn't go well.,180.0
