movie,cause_event,effect_event,rating_count
9,172,174,1
9,173,174,6
9,174,175,12
9,174,177,1
9,175,176,11
9,175,178,2
9,176,177,9
9,176,178,1
9,177,178,7
9,177,179,1
9,178,179,5
9,178,180,3
9,179,180,8
10,181,182,1
10,182,185,2
10,183,184,5
10,183,185,1
10,184,185,4
10,184,186,7
10,185,186,3
10,186,187,6
10,186,189,1
10,187,188,3
10,187,189,1
10,187,192,1
10,188,189,9
10,188,192,1
10,189,190,13
10,189,191,2
10,189,194,5
10,189,198,1
10,190,194,1
10,190,195,1
10,192,191,1
10,192,193,6
10,192,194,3
10,193,194,1
10,194,195,5
10,194,196,1
10,194,197,2
10,194,198,1
10,195,196,2
10,196,197,4
10,197,198,7
10,197,200,3
10,198,199,6
10,199,200,6
10,199,206,1
10,200,201,11
10,200,202,1
10,201,202,7
10,202,203,2
10,203,204,10
10,203,205,7
10,203,207,2
10,204,205,1
10,204,206,7
10,204,209,1
10,205,207,4
10,206,208,9
10,206,209,3
10,206,213,2
10,207,208,2
10,207,209,1
10,207,211,5
10,207,213,1
10,207,214,5
10,208,209,6
10,208,213,2
10,208,215,1
10,208,216,1
10,209,210,9
10,209,211,1
10,209,213,1
10,211,212,12
10,211,213,1
10,212,213,3
10,213,214,1
10,214,184,1
10,214,196,1
10,214,200,2
10,214,203,1
10,214,213,1
10,214,215,8
10,215,216,6
