AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,story_type
3C44YUNSI2BC590JWA2AVZKHP2XDPL,1933,Y4GLGJTB,25.0,man,white,1.0,1.0,2.0,4.0,66.88032821248515,Visiting a wedding venue we loved,recalled,The bathrooms we were shown were so tiny,0.0,,3C44YUNSI2BC590JWA2AVZKHP2XDPL,,,"I am getting married in May, and my fiance and I recently visited the venue we are choosing for our wedding. We absolutely loved it. The building, inside and out, is beautiful, classy, and impressive. The woman we met with that gave us our tour was excited, personable, and relatable, and she answered our questions easily as we walked through the venue. The history of the place is magnificent, and the view of the mountains and river out the windows of the spaces were breathtaking. We loved everything about it, except the bathrooms. When we asked about the bathrooms that would be available to our guests she told us they would have to use the ones in the lobby of the hotel. It was fairly far from the rest of the spaces, but not an insurmountable problem. When we used these bathrooms after our tour though there was a problem. They were so tiny! It was difficult for me, a larger guy, to close the stall door behind me. There was no way a group of 100+ people would be able to use only those bathrooms. We bumped into our tour guide and asked about other options and she said she would get back to us about using the bathrooms on the level below the lobby, via elevator. We weren't really satisfied with this but continued looking around. We happened upon some super nice and roomy bathrooms as we were walking around the 2nd floor and realized they were just as close as the lobby bathrooms to our event space! Only a short walk and up a flight of stairs, or one could take the elevator. While still not overly convenient, it was certainly a better solution than the lobby bathrooms. I recently went back and visited again with my fiance's parent and sister to show them the venue and work out the nitty gritty details. We are very excited.",2.0,"My fiance and I visited out future wedding venue. Everything was perfect, except for the bathrooms. But we discovered a great hidden set of bathrooms just as close as the original ones.",1.111111111111111e+29,Imagined
3DUZQ9U6SNAVCIGXFC6YWQVZBZOVS9,1731,D1Q0AQQI,45.0,woman,white,1.0,4.0,4.0,5.0,4.499809670330264,being severely injured while camping.,recalled,I spent two days in a hammock after being burned.,0.875,,3DUZQ9U6SNAVCIGXFC6YWQVZBZOVS9,,,"While camping this summer, I was scalded by boiling water. I was boiling water with my hiking stove to prepare oatmeal for breakfast. A gust of wind blew over the windscreen set up around the stove and toppled the pot of water off of the stove. The water was forced out of the pot and onto my abdomen. Fortunately, I had cell service and called 911. I was instructed to put cold water on the burn while I waited for the ambulance to arrive, but the only thing I had available was a cold bottle of Gatorade. I held the cold bottle to my abdomen while the dispatcher was trying to figure out exactly where I was located. My call had hit a cell tower in a different county. It took the ambulance 30 minutes to get to me and another 30 minutes to get me to the hospital. The wait seemed like an eternity, and I was feeling the worst pain I ever felt in my life. The emergency department doctor told me I had second and third degree burns over 45 percent of my abdomen. I passed out immediately after they gave me a shot of morphine. When I woke up, I no longer felt pain. They put a special ointment on my burn that totally relieved the pain. I needed to get back to my campsite, where my vehicle was located. The hospital called a taxi for me, and I was sent back to my primitive campsite. I felt very weak and could not pack my camping gear into my vehicle, so I ended up sleeping in my hammock. I spent two days in that hammock, trying to get the strength for the two and a half hour drive home. When I finally arrived home, I had to go to another emergency room to have my burn cleaned. It was one of the scariest experiences of my life, and I am still recovering from my burn both physically and emotionally.",4.0,I was scalded by boiling water while camping this summer. I received second and third degree burns over 45 percent of my body. It was the worst pain I've ever felt in my life.,90.0,Imagined
3SPJ033422PJH9SCXTK4BO87O9PYJY,1759,GUOIKD5A,25.0,man,white,1.0,1.0,,1.0,5.1929568508902095,a car I bought and went on a road trip in.,imagined,I was able to save up for the car.,1.0,,34HJIJKLP6ICAXEMPBAGYNFT90O4VO,1.0,"I don't identify at all, this never happened to me.","Growing up I had always dreamed of owning and driving a really nice and fancy car. I had always been big into cars and spent a lot of time going to car shows with my dad. Once I had my first full time job and paid off my student loans, I had my eyes set on an Audi A3. It really was my dream car. After saving and being thrifty for a few months, I felt comfortable enough to take the leap and buy the car. I was so excited with it, I wanted to drive it everywhere every singe day. I had the great idea of taking it on a road trip with some friends, to really break it in. So 6 months ago we set off from Cape Cod and decided to drive up to Vermont for a nice weekend in the wilderness. The four of us got into my new Audi A3 and hit the road,a  big smile on our faces. The car drove like a dream. It was responsive, fast, and incredibly smooth. The several hours drive simply flew by, with each of us taking a small shift. We all agreed that this was one of the best cars we ever drove. I left the road trip that weekend happy as can be. Not only did I have an awesome weekend away with friends, but I had my dream car. I could not be happier.",1.0,"In my above story I explained in detail how I made my dream purchase of buying my Audi A3. I described how satisfied I was with my new purchase and some of the detail in my vehicle. Further, I explained my first road trip the day after that I bought it.",180.0,Imagined
3YMU66OBIOUN4CCMFNVDSBLNH4NHGH,4100,K97DUT47,35.0,woman,asian,2.0,1.0,,2.0,4.499809670330264,being dismissed from nursing school,imagined,i got into an accident right before my most important exam.,0.75,,386PBUZZXGJZHALDEEVEHG6AQ2YLJV,2.0,"i think it could happen to anyone, but i saw it happen to my friend.","3 months ago, I got dismissed from my nursing program. I started to experience emotions of anger and frustration. I had failed my practical exam 3 times. I know the rules clearly said that if you fail three times, you get dismissed. This has not stopped me from feeling anger toward my instructor. I know that woman had it in for me from the beginning. She was always picking on me. Always saying condescending things toward me. When I got good grades, she always joked that I had copied someone. I was doing okay on all the subjects she didn’t teach me. I blame myself for not doing anything and not talking to the dean the second time she made me fail. On my last practical test, I went to take the test soon after I had been involved in an accident. An old woman who could barely walk rear ended me when I was getting out of the parking lot. Should people this old even be allowed to drive? When I got to the testing center late, that evil woman refused to even listen to me. She completely ignored me when I asked if I could be tested on another day. I talked to the dean and had all the evidence with me but he refused to take my side. It was no surprise he sided with her. I will probably hire a lawyer and sue the school. The anger I feel is indescribable.",1.0,I got dismissed from my local nursing program. I started to experience emotions of anger and frustration.,90.0,Imagined
3Z4AIRP3C7ZNMNMY28SWOA5B2GO1XG,935,0BZQNCDH,18.0,man,white,2.0,2.0,,4.0,4.0943445622220995,Having a heart attack and surviving from it.,imagined,he survived a heart attack,0.375,,34J10VATJGKEDWHKO1IAM1Q4M3AQIA,4.0,I understand the stress of losing someone to this.,"It happened so fast. 12 weeks ago, I was eating normal and working out everyday. I started feeling chest pains daily but never really paid any attention to it. I would come home and eat dinner with my family and talk to them about it. I went to a doctor but they didn't see anything. I went out running one day, and my chest started hurting really bad. I started grasping it onto my chest and I called 911. They reported to my location almost immediately. I was able to call my family, but I couldn't speak so they couldn't get told til a paramedic arrived. They hauled me to the hospital where they luckily got me taken care of. My whole family was there which made the process a lot better. I wasn't able to go to work and help my family out with that, but thankfully we had savings. It was a terrible feeling. I will always get myself checked by multiple doctors now. Thank you God for being alive still.",4.0,"My heart attack almost two months ago now has changed how I see life.  It isn't so much the changes as the priorities I have to have, especially with how I spend and budget my time.",60.0,Imagined
3EFE17QCRDRQUHLDANPUHP4RUYSSHG,1035,4E2KIOFL,18.0,woman,white,1.0,1.0,,4.0,5.1929568508902095,my husband gifting me with concert tickets for my birthday.,imagined,I realized the tickets were for Paul McCartney.,1.0,,33PPO7FECW1KONDFJFCQM2J5E8JIDA,3.0,I don't like Paul much but otherwise I can easily imagine the excitement of receiving concert tickets from my spouse as a gift.,"Well I had just about the nicest birthday of my life this last weekend. I wasn't expecting much, honestly, because we are not rich by any means and usually birthdays are a pretty simple affair. After a delicious home-cooked dinner, my husband and I were just about to dig into some cake when he slipped away to our bedroom to receive a wrapped gift. I was already so surprised, since we don't typically do gifts. He looked so excited giving it to me, I couldn't help but tear into it. Inside I found concert tickets! This was really thrilling because we haven't been out to see anything live in years and I've been dreaming of doing something just like this. What really got me, though, was when I noticed that the tickets were to go see Paul McCartney! The Beatles (and Paul) have honestly always been my favorite since I was a child, but I never imagined I'd go and see one of them live. I was so touched, and my husband just had the cutest smile on his face. I didn't want to say anything, but I know that the tickets must have been pretty expensive and it would have taken him a long time to save up for them. I just think it's one of the sweetest things he has ever done for me. The next night we went out for dinner before catching the show and the whole thing was just a dream. We had so much fun and I felt ten years younger! We danced and sang along together, and when we went home we both couldn't stop talking about how great the show had been. I don't think I will ever forget this birthday, it was such a delight.",1.0,"I wrote about the Paul McCartney concert that my husband gifted me for my birthday. My love of the Beatles and Paul. I described feelings about the gift and the sacrifice my husband made, financially and emotionally. How we got there and how much we both enjoyed the concert.",180.0,Imagined
3IXQG4FA2UKYYPMS1PF7EJW2HPOB9Q,923,Z8J3S2DC,35.0,woman,white,1.0,1.0,,5.0,3.332204510175204,about trying to make my own e-liquid.,imagined,i saw how easy it was,0.875,,31JLPPHS2VGW2HMLOLJJTQTFOKCO3H,1.0,not at all. i don't use the product.,"4 weeks ago I found an article about making your own e-liquid. I been vaping for a while now. Vaping is very enjoyable to me. Vaping helps to calm me down during stressful time. It also relaxes me when im not stressed. Although I enjoy vaping, at times it can be expensive. I was amazed when I read the article about making your own. It seemed really simple to do. All the ingredients were cheap. Also all the ingredients were easy to obtain. I immediately saved the page and made the list. I proceeded to go to the store for the items. The ingredient list was simple and short. I was more shocked that the total cost was less than expected. I carefully followed the instructions and made a batch. I was surprised at how well it turned out. It ended up being better than expected. It was great to get the desired effects at a savings. I highly recommend this for anyone who vapes. It's a real cost savings.",1.0,I came up with the realization that i can save money by making my own nicotine e-liquid versus buying it at the store. It is much cheaper. I'm also excited about taking it up as a hobby.,28.0,Imagined
3AAPLD8UCD3R9HYSZNUKRU0CHK8HTL,978,5XPKI2H0,30.0,man,white,1.0,2.0,2.0,5.0,5.1929568508902095,My hips could not fit through a cave hole.,recalled,"My shoulders were able to fit through, but my hips didn't",1.0,,3AAPLD8UCD3R9HYSZNUKRU0CHK8HTL,,,"June 2019	This is the day when I got stuck in a cave named Bat Cave here in Florida. It was memorable and something that I think about often, especially when I go into any other caves and desire to explore passages that are a little tight. Getting stuck in a cave, even thought it was only for about 30 minutes was somewhat terrifying when I think of it. Though I tried to keep my cool and I knew that I would be rescued since there was a large group of people with me, it still makes me think twice every time I see a tight spot in any cave.  With that being said, it began like any other caving trip in Florida, going through various squeezes and crawls into new areas that I have never been before. I followed my friends all the way to the furthest back room that I could reach; they could all fit through without much trouble, and I only had to exhale a little bit to fit through. The back room was interesting, don’t get me wrong, but it was not worth what came next. I tried to fit back through the small opening that I came in through, but going headfirst at such an angle was not going to be the easiest. Seeing another route out that everyone else was going through made me also think that I could just crawl headfirst through that short passage. While I could get my chest and upper body through with no problem, that is where I ran into the problem. My hips just would not fit through! I called to the guys that were with me, who thought I was just joking and soon realized I was not. They pulled my arms to help and I was stuck in tight! They were making slow progress, but it was steady progress. Inch by inch I was able to wiggle my hips while they pulled my arms till finally I got out! It seemed like 30 minutes total, but it was probably much less in real time. After getting out my muscles were shaking all over, but was I ever thankful to get out of the beautiful and somewhat terrifying cave!",1.0,I got stuck in a Florida cave because my hips were too large for the hole that I was going through. I eventually got out with the help of my friends within about 30 minutes.,180.0,Imagined
3TK8OJTYM27YZQ05NV241LQOHMUPV7,1092,P0XFPYLO,25.0,man,hisp,2.0,2.0,4.0,4.0,4.499809670330264,I got accepted into some good universities.,recalled,I got accepted into UCLA and Berkeley.,0.375,,3TK8OJTYM27YZQ05NV241LQOHMUPV7,,,"Around spring of this year, I had been waiting for letters of acceptance from various colleges I applied to.  I was a bit nervous about it and around March I received my first acceptance from UC Riverside.  I was excited that at least one college accepted me for I had some doubts that any would.  But over the course of the next month and a half, it seems like my whole life changed.  I ended up getting acceptance letters from every UC school, including Berkeley and UCLA.  I remember when I got my acceptance to UCLA, I was sitting in a quiet study room so I couldn't really react loudly.  But I definitely started to reflect on the hard work it took and what I'd been through to get there.  I feel like I beat the odds making it to this point.  I was definitely emotional as I'm a first generation college student and my parents were proud that I had gotten into such good schools.  After the fact I feel like my whole life has changed for the better and I have so much ahead of me.  I believe I had no reason to doubt myself in the first place and realize now that that was irrational.  I am definitely looking forward to it all.  Right now I am just taking my time over the summer to prepare and relax.  It has been nice and I have been getting out a lot.  The future is unwritten but I hope it's going to be exciting and that I will be successful.",2.0,I got into some schools of my dreams.  I've been through a lot to get to this point.  This has changed my life and future greatly.,90.0,Imagined
32Z9ZLUT1M6BWPTK368LXKUQWLLOHY,2213,0NZUIXNP,25.0,woman,white,1.0,1.0,,4.0,3.4011973816621555,my girlfriend and I going to the zoo.,imagined,we were able to see the penguins,1.0,,304SM51WA4QG34IRAVFYVE1S8XNSBV,4.0,I really enjoy going to the zoo with friends and my fiancee.,"I wanted to write about one of the best days in the past year. My girlfriend, and I went to the Columbus Zoo about a month ago. It happened to be one of the hottest days recorded in July in the city! We had been planning this trip for weeks, so despite the weather, we decided to stick to our plans. Ashley and I have been working on spending more time together as we both work full-time jobs that prevent us from having date nights. More recently, I have been asked to work overtime on weekends, but this weekend I knew it would be more beneficial to spend time with her. We got to the zoo early before many of the large groups came and grabbed a snack from the snack bar so we could get a head start on seeing our favorite animals. Ashley really enjoyed seeing the elephants and giraffes, while I wanted to see the tigers and lions. The giraffes were running around playing with their young babies who looked as if they had just learned to walk. We were really lucky to see the penguins who were out swimming in the afternoon, but not for very long. It looked like they had gotten full from all of the fish they were being fed and went back into their private area to nap. I couldn't blame them for that! It felt like a much needed day together with my girlfriend. It meant a lot to me personally, as I have been stressed at work and Ashley finds a way to get me talk about some of the things I've been holding in. It was truly a wonderful experience. What was really neat is that the zoo offered free lemonade to their guests once the temperature got above 95 degrees. Ashley must have had a gallon of lemonade that day! I think Ashley had a great time also, as she talked about the animals on the entire drive back home.",1.0,"Me and my girlfriend went to the zoo on a hot day. We saw many animals like giraffes, gorillas, elephants, snakes, tigers, lions etc.",30.0,Imagined
3TAYZSBPLMUMFRIVR2MNULYOF702SQ,1602,8CW043B9,30.0,man,white,1.0,3.0,,4.0,3.555348061489413,my cat getting stuck in a hole while I was on vacation.,imagined,my landlord left a hole in my bathroom.,1.0,,3HUTX6F6VV97HZQ2KL5EAGONI772OH,4.0,"I really want to have a pet, but I travel too often and I worry that if I had a dog or a cat I would feel terrible to leave them alone. Because of that, I can easily imagine how I'd feel if something happened to my pet while I am away.","About five weeks ago I went on a long-awaited vacation with my best friend. It was a 7-days Caribbean cruise. I was so excited to go! The only thing I was worried about was leaving my cat Cornelius at home. I have made arrangements for my neighbor Mary to check on him every day. She is such a sweet lady and she agreed to do it right away. She promised she would make sure that Cornelius has fresh water and food and she told me there was nothing for me to worry about. So, I went on the cruise and it was amazing. I didn't have internet access nor phone service, which was great, but I was a little nervous, because I couldn't check on Cornelius. I had the feeling that something bad might happen to him, but my friend kept telling me that I shouldn't worry that much. But I was right. Something did happen while I was away. Apparently, there was a leak under my bathroom sink and Mary reported it to the landlord. He stopped by my apartment later that day and repaired the leak, but left a hole under the bathroom sink. After he left, Cornelius, being the curious kitty he is, went into the hole to investigate it and got stuck in it. I don't know how much time he spent in that dirty dark hole, but Mary realized that he must've went inside when she didn't find him in my apartment the next day. Long story short, Mary had to call the landlord and her nephew and it took them the whole afternoon to rescue Cornelius, but thankfully they did it and he is ok.",1.0,I took a vacation and left my cat at home.  My landlord did construction on my apartment and left a hole in my bathroom.  My cat went in the hole and had to be rescued.,35.0,Imagined
