AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,scalar_text_sequentiality,story_type
3I33IC7ZWGOIFVW1A20W9L4IMFL2A7,2384,DPTL7TIT,55.0,woman,white,1.0,3.0,5.0,5.0,4.0943445622220995,my son's graduation,recalled,He introduced me to his college friends,0.25,,,,,"The event I'm going to write about is when my son graduated college. This was earlier this month of May. My son was a student of Washington State University. Earlier May, he graduated. His graduation day was a major ceremony for me and the family. We prepared for the graduation for almost a month. The graduation day served as a reunion for a lot of people. Since he grew up in Washington, a lot of friends were able to attend the ceremony. This was to my delight. I was also surprised at how far he has come in life. I know that I have been with him all the way, but this was still surprising ( similar to how surprising it is for parents as they watch their children grow). The day of the ceremony was pure delight. I was introduced to some of his college friends which was a bit shocking to me as he has always had a private and compartmentalized life. I also talked to his girlfriend, whom I had never met. It is necessary to understand why I was so happy. My son was depressed in high school, and had attempted to commit suicide. Seeing him graduate college was overwhelming and crazy for me. Seeing him overcome obstacles made be the happiest person on earth that day.",1.0,"My son who was once depressed and attempted suicide graduated from college. A lot of his friends came to the ceremony. I was overwhelmed with emotion because of how far he has come in life, and how he bounced back from depression.",60.0,1.3942126941201594,Recall
33F859I567ZRDV4BZ13ZR0UQB9RBH0,1306,9A8H9MJ8,35.0,man,white,1.0,1.0,3.0,2.0,4.0943445622220995,A dream about my mother.,recalled,Everything in the story was surprising to be honest,0.5,,,,,"A couple months ago I had the strangest dream.  For me however, there was nothing strange about it, it's very run of the mill.   For me, the strange part, is that I actually am taking the time to write it down.  The dream started with me laying on my childhood bed.  My mother in the next room started complaining about the noises outside her window and how she was trying to sleep.  I peaked out of my window and looked  towards the neighbors ' house, not much noise coming from there.  I decided to go outside and see what else was going on.  Ahh, this must be what she's barking about, a father showing his son how to use the recycling bins.   ""It's nothing Mom!""  I yelled as I headed back to the bed room.  In that instant I remember being semi conscious it was a dream and a voice, either my own, or maybe even the father outside made a comment somehow unknowingly on the situation: ""See when you work for 30 years, you earn the money to build a life for you so that you can enjoy your life after."" Unlike my mother's situation where she lay in bed jobless, complaining.  I went in the living room and noticed drawers full of pink starburst, ""Just like in real life.""  I thought, knowing I bought a bag about a week ago, having a brief second of knowing that this was all a dream.   Shortly however I was back to being unaware.  I thought about our neighborhood and what it would look like with a lake.   ""We could shoot all kind of game!"" Explained a man who was suddenly in my living room.  I asked ""Do you think they would stock it with bass?""  Figuring a hunter would know such things.  ""Of course!"" He replied.  I then realized that this was all a daydream.   To which point I thought if I told my mother she would try it and relax for a bit.  It kept going but I think this is a good summary for now!",1.0,I basically gave a summary of a dream I had recently.   I have very crazy dreams that I would love to share with anyone willing to listen.,60.0,1.1927734534458372,Recall
3VZLGYJEYMWKHJ76AJ1OG4PO4GAXZ7,1241,DA9ZAOL3,50.0,woman,other,1.0,1.0,2.0,5.0,1.9459101490553128,family history sharing with my mother.,retold,I learned that many of my relatives died from diphtheria.,0.0,,,,,"My sister and I sat down with my mom to talk about her family tree. I knew vague details of our family history, such as Great grandpa LeBrun marrying a native american woman from the Kalapuya tribe in Oregon and settling down on the Willamette river area, but there were a lot of details that were either never shared with me or forgotten. My younger sister got  a subscription to an ancestry website and the three of us started digging and telling stories. I learned that my Great great grandfather was part of a group that voted for the area that is now Washington State to become part of Canada. I also learned that my great grandfather was a tax collector that raised horses. Among all of these stories I learned that my great grandmother lost nine of her eleven children to diphtheria. The only reason my grandmother and her twin survived is because they were kept in the snow outside and warm bricks were wrapped up and changed 24 hrs a day.  My grandfather, her father, inherited a huge sum of money from his tax collecting father. At one time he owned 500 acres of Willamette Valley bottom land, (which now grows incredible wine grapes) He was the first in his family to graduate HS but couldnʻt get a job because he was half native american so he started drinking heavily. This led him to be missing or in jail for large portions of time, leaving my mom and her mother vulnerable to threats from the local KKK. She told me about being followed home as a child, how they would threaten to burn her house down. She was so sad when she told me about how they couldnʻt even afford a proper lock on the front door. I wanted to learn more but I didnʻt want to press the sadder issues until she felt ready to share. Along with the sad times there were a few moments of levity. I learned that even though my great grandmas side of the family were native americans they were also very tall! Mom said they were all built like bears!",1.0,Mother relates how she was terrified of the KKK growing up. I heard that she grew up with an abusive father but I didn?t know that she also feared for her life from the KKK because her father left the house.,7.0,1.0420716543815003,Recall
3S3AMIZX3VRTBKRFR5G4BZLA139DCD,1473,IW0EQAEU,40.0,man,black,1.0,3.0,5.0,5.0,5.010635294096256,The death of my father,recalled,My dad died suddenly without being sick,0.375,,,,,"My dad and I have been very close as any child can be close to his father. He was a dedicated family man and loved every member of his family. He was growing older but has always enjoyed good health. We lived a little far apart. To keep in touch, i would call him up on phone two or three times a day to seek his advice on matters, share a joke or say a good night to him. He has been an integral part of my life and my daily routine. Then one day in June 2019, i got a call from him at an unusual hour. He was not sounding his usual ebullient self. I tried to press him to know what was bothering him but he kept insisting he was fine. I sent my sister who lived in same neighborhood to go check him up. She also phoned to say he was doing fine. She went back to her own place. But i had an uneasy feeling. The following morning, i kept calling dad but his phone rang away with no response. I took my car and drove all the way to his place. I have a spare key to the house. I got in and went straight into his room where he laid peacefully on the bed, cold, not moving. He was gone! I was terribly devastated. Not even a goodbye to me!. This event was memorable in my mind and has refused to go away.",4.0,"My dad had enjoyed good health and had not been sick. June 2019, he called and i felt he was sounding low. He insisted he was fine. But on checking up on him the following day, he was gone. Dead!",150.0,1.3100522151629934,Recall
3TU5ZICBRENLOQ57FF6J9CWQKVYQ88,627,AR33MOOA,55.0,woman,white,1.0,1.0,2.0,3.0,1.9459101490553128,trip to Grand Canyon,recalled,saw mountain goat on plateau,0.875,,,,,"My kids live in Central California.  I live in Lake Havasu City, desert, but with a lake.  My husband and I really aren't into the whole lake scene as far as it's a ""party town"",  but being able to take walks by it and such are very enjoyable.  Recently my kids came to visit for 3 days and we rented a boat for one day, but what was more enjoyable was the third day we drove to the Grand Canyon.  I had only seen it as a small child, 6 years old.  My husband had grown up not far from there.  My kids had never seen it.  Since I hadn't seen my kids in years, even the time driving there was enjoyable because we could ""catch up"" as well as the fact that they had never met my husband.  Once we got there we picked the tour that we felt my husband could best handle since he is visually impaired.  My kids were very patient  at not getting too far ahead of us and such.  We had a fantastic day.  We will never forget seeing a cliff with a small plateau and this mountain goat was just standing on the plateau.  Pretty amazing how it got there.  On way back we talked about times in our life when we had ""mountains in life"" to climb and how we got to the top.  Overall, just an experience that I hope to have again.",1.0,Adult sons came to visit.  Took us to the Grand Canyon. Had a fabulous day with both the drive and the time we spent there.,7.0,1.2050964823877095,Recall
3GNA64GUZFQ218M5HHZGXSMZGOFQ5O,1081,QZK42E5E,25.0,woman,black,1.0,3.0,5.0,4.0,3.0445224377234235,My husband and I going on vacation,recalled,That we really enjoyed our trip,0.625,,,,,"Dear diary I had a really great vacation with my husband this weekend. We went out of town, to a baseball game. we got even caught one of the game balls. We were really grateful that we got to finally go on a trip together. The team we were cheering for at the time didn't actually win but that was ok. We got to explore the town together. Go to a lot of different restaurants, we ate a lot of food . We stayed at a great hotel they gave us free breakfast which we really enjoyed . We went to a couple of museums. We got to learn a little bit of interesting things about history that neither of us new about. we went swimming almost every day and night. We took a lot of pictures. we even took pictures with a baseball player. We went dancing at night once. The most fun was us being together. We loved going to the baseball game. We hope that our next game will be even more fun.",3.0,We went on vacation. We stayed at a nice hotel. WE went to a baseball game caught a ball. Ate at different restaurants.,21.0,1.5331484514088507,Recall
3DI28L7YXB0EGNVH73240LK4XIU1EF,606,11YQTE1A,55.0,woman,white,1.0,5.0,5.0,5.0,3.0445224377234235,Relationships after 60.,recalled,Falling in love and being physical at my age.,1.0,,,,,"I am 66 years old, and have been divorced for a little over 6 years. Last year, I decided to take my chances with dating websites, and see who was out there for women my age. I am a little unusual, in that I am a professional musician, and keep strange hours. I am also looking for someone who is not your run-of-the-mill person. After going on many dates with different people, and meeting mostly alcoholic ne'er-do-wells, I met a very interesting man who was a blues musician. We instantly were attracted to each other, and embarked on a 4.5-month-long, very passionate relationship. It just ended two and a half weeks ago, because he went back to his old girlfriend. I discovered that was his plan pretty much all along. I believed dating at my age would be easy, because I thought people would know what they want in life. What I found was that people have an inordinate amount of baggage, much more than they do in their 20s and 30s. Maybe I'll meet someone else; I sure hope so. Falling in love over 60 is rough. This is because you aren't sure it will ever happen again. I don't want to grow old alone. I believe I have a whole lot to offer someone.",5.0,"I began dating after my divorce. I met someone and fell in love. It ended, and now I'm looking again.",21.0,1.0451885304360058,Recall
338JKRMM27LMULZJTN33WPAKTR6AH4,1827,UBD44TTO,30.0,man,white,1.0,1.0,4.0,5.0,5.010635294096256,About the success of my strength training.,recalled,Meeting my idol,1.0,,,,,"This event occurred at a time in my life when I did not know what direction to go in. It was something that really opened my eyes to what my health and in turn my life could be like. This story is about a revelation of sorts that Living healthy and happy is something that I can achieve. One of the key moments in this story was when I met my all time fitness idol, ""the mountain"". It was a glorious day as I started getting in to strength training and fitness a couple of years ago when I went through a deep depression. This was a very significant event for me because fitness and strength training specifically changed my life. When I met my idol I was awestruck at how big he was but like me, he started somewhere. He told me consistency is key and even when you desperately want to give up, you have to push even harder and faster to break through it. His advice was so invaluable to me at the time because I had felt like giving up many times. I had him autograph a picture I had of him winning a strongman competition. This was such a great experience as It really motivated me to get better and stronger, which I did. I worked harder than ever after meeting him and realizing anyone can be strong with the work put in. I have realized that with almost everything in life, consistency is the most important thing which is what the experience taught me. I now try to be consistent in everything I do and it has paid off big time in the long run. I have been successful in all areas of my life so far by doing this.",1.0,"I was slacking with my strength training but I met my idol ""the mountain"". He gave me advice to stay consistent and it has helped me more than anything else.",150.0,0.925353908284826,Recall
3YWRV122CTLDGJCOWOQOJDTFXB8U8L,2130,QY4U9AQ5,35.0,man,black,1.0,1.0,4.0,5.0,4.499809670330264,A Friend's Lucky Chance.,recalled,That I actually won some money in a place I only suffered losses.,0.125,,,,,"A few months ago, I was in desperate need of some extra income.  The reason, I needed to purchase equipment and a new computer so I can self-teach myself animation and improve on my drawing/sketching ability.  Unfortunately, I did not have the funds to pursue my goals. I had to do something but I was not going to force anything that cost me money or put me debt.  I was bit sad about the situation because like some things in life, people want immediately results.  I needed to be patient, something I have always had an issue with.  However, I was not going to force the issue this time as I had mentioned before. One night out of the blue, a friend and had not hung with for a while wanted to meet up and chat with me about things going in his life and things going on in my life.  My friend picked me up on a Saturday afternoon and we just decided to drive around and talk about life. Because we became hungry after a while, we decided to head to the local casino and eat at the buffet.  You just cannot beat all-you-can-eat for a good price.   Also, I had not been to the casino in years because the last time I went, I cost myself over $100 and vowed not to go again.  However, my friend wanted to go and I did not want to stop him.  After we ate, we decided to sit down and play a couple of slot machine to waste time and test our luck.  As luck would have, I ended up winning about 400 bucks off of just $20 I spent.  My friend did not know I was down to my last 50 before going to the casino, so this money came in hand in a big way.  Now, I am not a religious guy but I will admit I looked up and said thank you to whoever the big man or woman is in the sky.  That money was more than what I needed to get the equipment I needed to purchases as well as purchase a low-cost, online animation course that set me on my way.  I was even able to give my friend $50 just for the hell of it. You just never know when you will be blessed with positive things.  I was so happy that I couldn't contain myself and almost started to cry but held together and just kept a joyful laughter for about a 5 minutes.",1.0,"Luckily, I was blessed with winning close to $400 at a local casino that afforded me the opportunity to get what I needed at the time after a friend invited me to hangout with them.  You just never know when, who, or how you will be blessed, just keep believing and have faith you will receive it.",90.0,1.0369492484718916,Recall
39PAAFCODNMWRITC4CBO6VRL6O4TV3,3044,85QICT3U,18.0,woman,asian,4.0,2.0,4.0,2.0,6.345636360828596,about a vacation event worked on,recalled,when i encountered an guy who was really scared,-0.5,,,,,"Over my vacation from my job, I went to Casper. I took on a side job that lasted for over 3 nights. My side job included me planning and managing an exciting extra event  of the planned show. The event was organized to happen in different locations of the show area. In the locations there were settings made to surprise selected fans attending the show by deceiving them. One of the special location straight out of one of the horror movies, where they was a clinic next to graveyard where zombies popped up. In the clinic there was a psychopathy patient, doctor and staff going on with surgery. Of all the fan that visited to the location, the most memorable was this one experience with the group of three people than came in. All action were being recorded in cameras. The three fans came in through the entrance with fear, and coldness on their faces. They went to the surgical clinic room first where they witnessed the surgeon doing a surgery an accidentally cutting the eye then the patient would wake and kill all the staff and head towards the fans. Two of the fans went straight back trying to open the door back which obviously was closed, so they headed towards the next area frantically leaving their friend behind. As for the friend, he was basically glued to the ground no matter how much the actor tried to make him to move, shocked to the point of fainting while standing, while peeing himself. Even after everything was over the person still did not move until about 30 minutes. In the end the friends has to come back in to get him to go back outside to continue the event.",5.0,"On vacation, a side job was taken to plan an event, where we would surprise fans of an concert. An encounter with one fan was the most fun where they got scared to point of being glued to the ground",570.0,1.1227773081060144,Recall
3K2755HG5TP0EWBPI765J56DM2RFDC,3002,TJ1ZU7SC,45.0,woman,white,4.0,4.0,3.0,3.0,5.010635294096256,Cruise to the Caribbean,recalled,the cruise hit rough waters and caused quit a bit of problems,0.125,,,,,"My friend was turning 50 years old. A group of friends decided to buy her a cruise trip.  To celebrate my friend's 50th birthday 7 of us friends book a cruise. We decided to head to the Caribbean for the cruise. My friend seems a little depressed about turning 50. We wanted to do some really fun to cheer her up. She loved Jamaica, so we made sure that island was on our cruise stops. We planned with the cruise to have a special cake made for her. We also had a singer sings to her Happy Birthday at our table, which was quite the comedic event. We drank frou-frou drinks daily, and ate too much food. We went to nightly entertainment, and an art auction. A few nights we sang karaoke in the bar, and made a fool out of ourselves. We cannot sing but we sure did try. We went to the casino everyday, and a few of us won a couple hundred dollars. We went dancing often, and met some great people. One day the ship really tilted and swayed because of high winds, which was scary.",4.0,"It was a one of my best friend's 50th birthday, so 7 friends got together, and went on a  5 day Caribbean cruise",150.0,1.3742026378534815,Recall
