,AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent
94,30LB5CDZNDWCKT1V77CH7Q2C71PZ09,1597,9M49AV4O,30.0,woman,white,1.0,4.0,4.0,5.0,2.6390573296152584,almost killing someone,recalled,I understood I didn't have to work this way,1.0,30LB5CDZNDWCKT1V77CH7Q2C71PZ09,30LB5CDZNDWCKT1V77CH7Q2C71PZ09,,,"I almost killed someone last month. I was on the phone, helping a patient, and also filling prescriptions as fast as I could. The pharmacist in charge (PIC) was picking her nose while telling me to go faster, faster, faster. I felt so angry that she wouldn't even pick up the phone and put someone on hold while us techs were working at such dangerous paces. And then it happened. A customer asked me to count their pills again so they knew they were receiving the right amount. I understood why, we were visibly overworked and understaffed, but was also very irritated at having yet another task added to my plate. I grabbed the vial, dumped it out, and then my blood ran cold. The PIC stopped digging in her nose and looked down at the same time I did--she lead by micromanaging us right down to how many times a day we urinated, and she started whisper yelling at me. There was a very dangerous drug mixed in with the blood pressure pills. How it happened, who initially put the wrong drug in the wrong bottle, who verified it at the final check, it didn't matter. This was not a failure of the multi-step process or the team in her eyes. No, the fault was mine and mine alone. My bladder was strained, my feet hurt, and I could not safely multitask another day. I went home and thought about it, obsessed over it, dreamed about it. I showed up for work the next day and worried over every patient. I worried that the other techs were not able to work safely either, that the other pharmacists were so worried about whether patients were coming in for vaccinations to meet a goal that I was actually going to kill someone next time. I worried that someone was sitting down to take the wrong medicine right that moment and there was nothing I could do.  The next day was my day off and I felt dread, crippling dread. And then I woke up at 3 in the morning and realized I didn't have to go in the next day. I didn't have to go back ever again. So without warning, without thought I quit. Just like that. My family is broke but I didn't kill someone that day.",5.0,I quit my job two weeks ago and put my family in financial stress. I quit my job because I almost killed someone by mistake.,14.0
109,3TS1AR6UQR0KXNAFRU3JJDWH6E87FB,5500,XBB2MHC0,25.0,man,white,1.0,2.0,4.0,5.0,4.499809670330264,My home sale,retold,Cash sale and extrmetly fast closing,0.25,30MVJZJNHNZ4G8K4PHSOC7FFI8P9JM,,,,About 3 months ago my wife and I looked at a house that came on the market. This home had 4 acres and a 6 car garage which we fell in love with.  After a visit to a bank for a pre approval we have decided to list our home as for sale by owner on zillow make me move to make the offer seem better contingent on sale of our home. The evening of us making an offer on the house we liked they have accepted an offer overbidding the asking price. Being that our home was still on the market on zillow I had a realtor reach out to me to show the house to his client. A few days later a lady came with her realtor and spent about an hour touring the home.  By the end of the tour she deicded to buy the house for full asking price for a cash deal. I was really surprised and thrown off by this especially since there was no other lined up home for us to purchase. I could not say no to an offer that was presented even with circumstances of us not having anywhere to go at the moment. Because the deal was a cash sale there was not much but a home inpection and closing date was chosen 3 weeks from signing the sale agreement. In the span of 3 weeks we found a rental with only a week left to closing. In a manner of 1 day we moved the entire home into a very nice rental while we shop for a new home. The whole course of the three weeks before closing were extremely stressful and chaotic in midst of trying to find a rental that quickly and hoping things would not fall through with inspection or the sale after signing a lease and moving all our belongings.  Overall it was a very unique experience and I could not be happier. We are still searching for the right house btw.,2.0,"I spontaneously listed my home for sale which ended up working out too fast with a cash sale and a 3 week closing,",90.0
110,30MVJZJNHNZ4G8K4PHSOC7FFI8P9JM,1687,XBB2MHC0,25.0,man,white,1.0,1.0,5.0,5.0,3.737669618283368,My home sale,recalled,Cash sale and fast closing,0.25,30MVJZJNHNZ4G8K4PHSOC7FFI8P9JM,30MVJZJNHNZ4G8K4PHSOC7FFI8P9JM,,,Recently I was looking to purchase a home. While doing so I listed my house for sale by owner. While a house I wanted to purchase did not work out my home still was for sale online and someone decided to see it.  A few days later a lady came over to look at the house with her realtor. She spent about an hour there checking it out. About an hour after leaving her realtor called and they put a cash offer on my house that I could not refuse. Because she was a cash buyer the sale of the house was scheduled within 3 weeks of signing the agreement. I went from casually looking for a house to 3 weeks out from the sale. I had to quickly find a rental while I look for my new house. It took me almost 10 days to find a place that I wanted to sign a lease for but I did end up finding one. Between getting the keys and signing the papers I had a total of 6 days to move my entire home.  The home inspection went well then it was down to the closing. The closing went smoothly and I walked out no longer being a home owner. Definitely a really random and stressful situation that worked great in my favor. All in all it was a great success.,1.0,"I spontaneously listed my home for sale which ended up working out too fast with a cash sale and a 3 week closing,",42.0
130,30X31N5D64CBKUDZ4HF203HMQPPASP,828,IPTMZFL0,18.0,man,asian,1.0,2.0,5.0,5.0,4.499809670330264,my graduation.,recalled,I started to cry when I go on stage.,0.5,,30X31N5D64CBKUDZ4HF203HMQPPASP,,,"A moment that meant a lot to me that occurred recently was attending graduating from college. I had spent the last four years in school and all my hard work had finally paid off. As I was getting dressed in the back, my mind was racing. I was surrounded by my friends and future colleagues. We can all say that we had finally made it to the finish line. All those long nights and the endless amount of homework was finally coming to an end. Many of had jobs lined up for us and if we didn't we were excellent prospects. As the lady in the front gave the signal, we all lined up and walked into the reception area, we were all greeted by our loved ones. The ones who stood by us and supported us as we made this transition into the ""real world"". We sat silently as they called our names. As the names were called, we one by one, stood and shook the president of the school's hand. We each took a quick photo and moved to accept our diploma. All the cheering and support bought tears to my eyes. It was happy and sad tears. I was sad to see all my friends go in different directions, but I was happy that they were all starting a new chapter in their lives. The graduation was short, but it was a memorable one.",2.0,"After four long years of college, my friends and I crossed the finish time. There were no more exams to worry about and no more homework assignments to worry about. We are all ready to start the next chapter in our lives.",90.0
149,317HQ483I8ETAZ4S89QTI7VZSCQNI2,521,HG5ZRVQY,25.0,woman,white,1.0,1.0,5.0,5.0,1.9459101490553128,the birth of my son,recalled,I had such extreme labor pains before I had him,1.0,,317HQ483I8ETAZ4S89QTI7VZSCQNI2,,,"The date was July 29th, 2019. It’s officially my due date! A few days ago, I went to the hospital with horrible contractions. They sent me home because I was only 1cm dilated. I’ve been in so much pain, I haven’t slept for around 48 hours. It hurt to sit, hurt to lay down, I’ve basically been standing up on my feet for 2 days. I haven’t eaten either. My bladder was irritated and just stopped working. I couldn’t pee no matter how hard I tried. I was truly the most miserable I’ve ever been. I finally couldn’t stand it anymore so my mom and boyfriend took me back to the hospital and I FINALLY got admitted!! :D I guess all those crazy contractions worked because I finally dilated to 3cm and they admitted me! (After threatening their lives if they didn’t lol) so here I am, on my due date, CRAZY happy with my epidural, and waiting to progress. Right now I’m about 5-6cm. Can’t wait to meet my little boy! UPDATE: My son was born 7/29 at 2:49am. 5 lbs 9oz We’re in post partum recovery, I ended up having a c-section due to meconium in his amniotic fluid. He is perfect, healthy, and we’re learning breastfeeding together. He’s my angel.",1.0,"I went into labor over 72 hours before I had my son. I was in extreme pain. I was finally admitted into the hospital, where I eventually had an emergency C-section, and had my beautiful boy.",7.0
163,3YOH7BII0ATXOZ3PA3XW544QKW5KVL,2717,0Y5LK9WP,55.0,woman,white,1.0,1.0,,3.0,5.1929568508902095,about my wedding,imagined,When the ducks decided to join us for the wedding and Ryan chased afte,0.625,,31EUONYN2WPGEQO48VPPCLLY7GNOVC,2.0,I did not identify with this story.,"My husband, George, and I were married six months ago.  We had a very small wedding with only our children and my grandparents attending.  George has two daughters that are five and eight.  And, I have one daughter that is eight and one son who is four.  My son Ryan is a very active and curious little boy.  We were married in a gazebo at a park.  The park was filled beautiful gardens and a lake with a water feature in the middle.  Our wedding day was on a beautiful summer day.  During the ceremony the local ducks decided to join us.  The ducks made a mess on the floor of the gazebo.  As we were saying our vows, Ryan noticed the ducks and decided to check them out.  He dashed to the area of the gazebo, where the ducks were.  As he ran toward them, he slipped and fell in the duck's poop and tripped over my grandmother's feet, soiling her shoes.  By that time the ducks decided to leave and they waddled towards the lake.  When Ryan got up from tripping over my grandmother's feet, he chased after the ducks.  By this time we saw Ryan chasing the ducks and going towards the lake.  George and I stopped saying our vows to each other and chased after Ryan.  But, it was too late to catch him before he got to the lake.  To our dismay, Ryan fell in the lake.  Thank goodness the water was not deep at the edge and we were able to get to him safely.  After all the drama, we went back to the Gazabo and continued saying our vows.  Our wedding day was a good day overall although, it was not what I expected.",2.0,"We got married with our children and my grandparents present. It was a good day overall, though it wasnt all I expected/",180.0
164,31EUONYN2WPGEQO48VPPCLLY7GNOVC,796,OKEO8LDM,25.0,woman,other,4.0,2.0,1.0,3.0,5.1929568508902095,my wedding day.,recalled,no one was really there.,1.0,,31EUONYN2WPGEQO48VPPCLLY7GNOVC,,,"My wedding day was at the beggining of the year and though it wasnt all that i ecpected it was still a nice day and one that i will always remember. We got married in the court house that my husband worked on while he was roofing. My grandparents where the only ones able to come. They waited in the lobby with our youngest son who was just 2 months at the time while we took our 5 year old upstairs with us for the ceremony. It was short and simple. I wish that more family could have come to share the day with us but it was special and will be something t beat when we get our vows renewed in the future. When I was younger I did imagine me to at least have a nice white dress and a bridesmaid in a church. The fact that it wasnt in a church did bother me a little, and i wore a regular but nice red dress i got on sale for $40. I would have loved to have flowers because my husband always brings me red roses. Being that it was in between our birthdays will be nice for a anniversary. I am thankful that my kids where there. I am thankful that my grandparents where present. I am thankful to be able to legally marry my husband. And I am thankful that it was a nice day. In the future I will be thankful.",1.0,"We got married with our children and my grandparents present. It was a good day overall, though it wasnt all I expected/",180.0
168,3SUWZRL0MZZ9N9WED9ELVHBMJTCE68,951,ZGW1AHJE,50.0,woman,white,1.0,4.0,3.0,5.0,5.3471075307174685,my son's coming home party.,retold,my son's father ended up going to jail.,1.0,31EUONYN2WPGEQO48VPPCLLYEAMOV6,,,,"My son returned from a military deployment after spending a year in Cuba. We had a large ""coming home"" party for him.  The whole family, except for a couple people, showed up. We had a great time, until some of our relatives got very intoxicated. I felt so bad for my son to have to witness this on his day of celebration. The weather was nice. We had a barbecue and grilled various meats. Some of the relatives brought food also. What should have been a great day, turned into chaos. Several of our family members are alcoholics. People started arguing and getting loud. My son's father behaved the worst. He started a fight, and the police were called. He ended up going to jail. He was being charged with serious assault. Even to this day, some of our family members do not speak to each other. It really affected our holiday gatherings this year. Some of our relative did not show up for Thanksgiving or Christmas. I doubt if we will ever have a celebration again that involves alcohol.",3.0,"My son returned from a military deployment. We had a big coming home party for him. The night ended badly, with drunkenness and physical fighting.",210.0
169,31EUONYN2WPGEQO48VPPCLLYEAMOV6,1256,ZGW1AHJE,50.0,woman,white,1.0,5.0,3.0,5.0,4.0943445622220995,my son's coming home party.,recalled,his father is the one who ended up going to jail.,1.0,31EUONYN2WPGEQO48VPPCLLYEAMOV6,31EUONYN2WPGEQO48VPPCLLYEAMOV6,,,"My son returned from a deployment in Cuba for the US ARMY a couple months ago.  We had a huge coming home party for him. It was such a joyous occasion. We had not seen him for over a year. He was so happy to be home. We invited all of his friends and family. Unfortunately some of our relatives got really intoxicated and got into a physical alteration. The police were called and his father ended up getting arrested for assault when he tried to break up the fight. I feel so embarrassed and ashamed of these family members. I really wanted this to be a happy time for my son, but he ended up so upset, and unfortunately, this has caused a huge strain on a few of our family's relationships. What should have been a great celebration, ended up being an event filled with bad memories. My son is the one who should have been celebrated. Instead, certain family members decided to be selfish. They decided to focus on unnecessary drama.  I have apologized to my son. He said that it is all right, but I do not agree. It will be a long time before I consider having those relatives at any events in the near future.",3.0,"My son returned from a military deployment. We had a big coming home party for him. The night ended badly, with drunkenness and physical fighting.",60.0
202,3PQ8K71NHY67KYR5NHTBF3NG8C4AA5,771,FLUATIB7,45.0,man,white,1.0,1.0,4.0,5.0,5.3471075307174685,studying foraging.,retold,I realized there was food all around me everywhere.,0.875,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,,,,"I have stumbled across something new to me lately. Foraging for food in the landscape around me is a real thing and I can do it. I started thinking about the plants around me when I saw a foraging video on YouTube. A teacher was showing students about all of the edible plants in a park that happens to be near my house. I was interested in the video as I have alot of experience with gardening and it dawned upon me that I could do this too. I started looking up plants online and watching other videos about plant identification. I started slowly by looking for one single type of plant and trying to identify it multiple times. After I was confident that I could identify the plant, I ate a couple of leaves just to test out the effects of it. I would wait a day and when nothing happened negative, I became more confident in my id's. I ate more the next time and continued to find out as much as I could about the plants habitat and features. Immersing myself in one plant at a time has been a great way to expand my knowledge. Now I can identify many plants in my area. I know the leaves, fruits, colors and features of a number of edible plants. This has given me a food source other than buying food from the grocery. It's amazing to see something all around you that was always there but you never saw before. I am very glad to have stumbled upon this field of knowledge.",1.0,"I learned about food foraging from self-study, reading and videos. This expanded myself and my understanding of the world around me.",210.0
203,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,1849,FLUATIB7,45.0,man,white,1.0,1.0,4.0,4.0,5.010635294096256,studying foraging.,recalled,I realized there was food all around me everywhere.,0.875,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,31LVTDXBL8WGFY4QMJ4NJ7S1QAXLR0,,,"About 6 months ago I learned how to forage for food. It has been an eye opening experience. I had no idea that there was so much food all around us that we simply pass by every day. It is kind of shocking to learn that there is so much plenty all around and yet we live in deprivation. I learned about it after I watched a video on it. It really opened my eyes and showed me something new. I did a bunch of reading and research which prepared me to go into the parks around me and find things. There is lots of food in the local parks in big cities. There is even stuff growing in the sidewalk planters. Things we call ""weeds"" are actually nutritious and delicious plants. I have grown alot since I woke up to all this. My horizons have expanded. My consciousness has increased. My self-reliance and self-trust has gone up. It has been a great experience. I would not trade what I learned for anything.",2.0,"I learned about food foraging from self-study, reading and videos. This expanded myself and my understanding of the world around me.",150.0
